Period,Electronic Arts Inc (EA) Price
2019-12-31 00:00:00,107.51
2019-12-30 00:00:00,106.93
2019-12-27 00:00:00,108.43
2019-12-26 00:00:00,108.51
2019-12-24 00:00:00,108.55
2019-12-23 00:00:00,107.79
2019-12-20 00:00:00,107.95
2019-12-19 00:00:00,107.34
2019-12-18 00:00:00,107.08
2019-12-17 00:00:00,105.75
2019-12-16 00:00:00,105.72
2019-12-13 00:00:00,104.55
2019-12-12 00:00:00,105.09
2019-12-11 00:00:00,103.2
2019-12-10 00:00:00,101.835
2019-12-09 00:00:00,102.03
2019-12-06 00:00:00,103.23
2019-12-05 00:00:00,102.12
2019-12-04 00:00:00,100.63
2019-12-03 00:00:00,101.27
2019-12-02 00:00:00,100.4
2019-11-29 00:00:00,101.01
2019-11-27 00:00:00,100.79
2019-11-26 00:00:00,99.28
2019-11-25 00:00:00,99.8
2019-11-22 00:00:00,99.19
2019-11-21 00:00:00,99.01
2019-11-20 00:00:00,98.12
2019-11-19 00:00:00,96.69
2019-11-18 00:00:00,97.39
2019-11-15 00:00:00,97.54
2019-11-14 00:00:00,97.54
2019-11-13 00:00:00,96.0
2019-11-12 00:00:00,96.33
2019-11-11 00:00:00,96.39
2019-11-08 00:00:00,98.27
2019-11-07 00:00:00,97.23
2019-11-06 00:00:00,98.67
2019-11-05 00:00:00,98.26
2019-11-04 00:00:00,98.15
2019-11-01 00:00:00,95.3
2019-10-31 00:00:00,96.4
2019-10-30 00:00:00,96.72
2019-10-29 00:00:00,94.41
2019-10-28 00:00:00,96.72
2019-10-25 00:00:00,96.31
2019-10-24 00:00:00,95.98
2019-10-23 00:00:00,95.71
2019-10-22 00:00:00,94.3
2019-10-21 00:00:00,95.81
2019-10-18 00:00:00,95.13
2019-10-17 00:00:00,96.76
2019-10-16 00:00:00,96.22
2019-10-15 00:00:00,95.15
2019-10-14 00:00:00,93.88
2019-10-11 00:00:00,94.19
2019-10-10 00:00:00,92.53
2019-10-09 00:00:00,92.88
2019-10-08 00:00:00,92.54
2019-10-07 00:00:00,93.57
2019-10-04 00:00:00,95.61
2019-10-03 00:00:00,94.34
2019-10-02 00:00:00,94.25
2019-10-01 00:00:00,96.75
2019-09-30 00:00:00,97.82
2019-09-27 00:00:00,95.67
2019-09-26 00:00:00,96.62
2019-09-25 00:00:00,97.63
2019-09-24 00:00:00,97.36
2019-09-23 00:00:00,98.18
2019-09-20 00:00:00,98.7
2019-09-19 00:00:00,99.69
2019-09-18 00:00:00,98.28
2019-09-17 00:00:00,98.42
2019-09-16 00:00:00,99.12
2019-09-13 00:00:00,98.48
2019-09-12 00:00:00,98.34
2019-09-11 00:00:00,99.11
2019-09-10 00:00:00,99.5
2019-09-09 00:00:00,98.68
2019-09-06 00:00:00,98.53
2019-09-05 00:00:00,97.45
2019-09-04 00:00:00,97.95
2019-09-03 00:00:00,94.83
2019-08-30 00:00:00,93.68
2019-08-29 00:00:00,93.03
2019-08-28 00:00:00,92.4
2019-08-27 00:00:00,94.06
2019-08-26 00:00:00,94.38
2019-08-23 00:00:00,92.91
2019-08-22 00:00:00,94.62
2019-08-21 00:00:00,94.04
2019-08-20 00:00:00,92.7
2019-08-19 00:00:00,90.91
2019-08-16 00:00:00,89.56
2019-08-15 00:00:00,87.88
2019-08-14 00:00:00,88.1
2019-08-13 00:00:00,92.34
2019-08-12 00:00:00,91.77
2019-08-09 00:00:00,91.97
2019-08-08 00:00:00,95.23
2019-08-07 00:00:00,92.27
2019-08-06 00:00:00,90.1
2019-08-05 00:00:00,88.59
2019-08-02 00:00:00,92.89
2019-08-01 00:00:00,94.6
2019-07-31 00:00:00,92.5
2019-07-30 00:00:00,88.57
2019-07-29 00:00:00,88.87
2019-07-26 00:00:00,89.51
2019-07-25 00:00:00,89.16
2019-07-24 00:00:00,89.78
2019-07-23 00:00:00,88.22
2019-07-22 00:00:00,88.14
2019-07-19 00:00:00,87.5
2019-07-18 00:00:00,89.19
2019-07-17 00:00:00,89.7
2019-07-16 00:00:00,89.55
2019-07-15 00:00:00,92.22
2019-07-12 00:00:00,92.82
2019-07-11 00:00:00,93.49
2019-07-10 00:00:00,93.96
2019-07-09 00:00:00,92.05
2019-07-08 00:00:00,93.44
2019-07-05 00:00:00,93.6
2019-07-03 00:00:00,98.11
2019-07-02 00:00:00,102.72
2019-07-01 00:00:00,100.89
2019-06-28 00:00:00,101.26
2019-06-27 00:00:00,99.14
2019-06-26 00:00:00,97.32
2019-06-25 00:00:00,96.9
2019-06-24 00:00:00,99.0
2019-06-21 00:00:00,95.33
2019-06-20 00:00:00,93.19
2019-06-19 00:00:00,92.58
2019-06-18 00:00:00,92.03
2019-06-17 00:00:00,92.44
2019-06-14 00:00:00,92.73
2019-06-13 00:00:00,93.57
2019-06-12 00:00:00,92.67
2019-06-11 00:00:00,94.58
