Period,PE Ratio
2020-12-31,35.6328
2020-12-30,31.6370
2020-12-29,31.3363
2020-12-28,31.3408
2020-12-24,31.5835
2020-12-23,31.5167
2020-12-22,31.0535
2020-12-21,31.4053
2020-12-18,31.7617
2020-12-17,31.1470
2020-12-16,31.5367
2020-12-15,31.3274
2020-12-14,30.6325
2020-12-11,30.2450
2020-12-10,29.9955
2020-12-09,29.6592
2020-12-08,29.4321
2020-12-07,29.1403
2020-12-04,28.6615
2020-12-03,28.5924
2020-12-02,28.8508
2020-12-01,28.3385
2020-11-30,28.4521
2020-11-27,27.6548
2020-11-25,27.0624
2020-11-24,26.7817
2020-11-23,27.1403
2020-11-20,27.1425
2020-11-19,26.7572
2020-11-18,26.0223
2020-11-17,26.3964
2020-11-16,26.4143
2020-11-13,26.9042
2020-11-12,26.5746
2020-11-11,26.6771
2020-11-10,26.4878
2020-11-09,26.0512
2020-11-06,26.5457
2020-11-05,28.5813
2020-11-04,27.9087
2020-11-03,26.8909
2020-11-02,26.6837
2020-10-30,26.6882
2020-10-29,27.5947
2020-10-28,27.9733
2020-10-27,28.2004
2020-10-26,28.2138
2020-10-23,28.2339
2020-10-22,28.2673
2020-10-21,28.4298
2020-10-20,28.3653
2020-10-19,28.9243
2020-10-16,29.3808
2020-10-15,29.2517
2020-10-14,29.5657
2020-10-13,29.6080
2020-10-12,29.1492
2020-10-09,28.3853
2020-10-08,28.0601
2020-10-07,27.8419
2020-10-06,27.8040
2020-10-05,29.1136
2020-10-02,28.7461
2020-10-01,29.5724
2020-09-30,29.0445
2020-09-29,19.2622
2020-09-28,19.5970
2020-09-25,19.4356
2020-09-24,19.1585
2020-09-23,19.0252
2020-09-22,19.4104
2020-09-21,19.0059
2020-09-18,18.6519
2020-09-17,18.5570
2020-09-16,18.7763
2020-09-15,19.0119
2020-09-14,18.6933
2020-09-11,18.6696
2020-09-10,18.8533
2020-09-09,19.0667
2020-09-08,18.4148
2020-09-04,19.2785
2020-09-03,19.6770
2020-09-02,20.6756
2020-09-01,20.4874
2020-08-31,20.6622
2020-08-28,20.8696
2020-08-27,21.0030
2020-08-26,21.2785
2020-08-25,21.0681
2020-08-24,21.0859
2020-08-21,20.9200
2020-08-20,21.2563
2020-08-19,21.0163
2020-08-18,21.1230
2020-08-17,20.8074
2020-08-14,20.8044
2020-08-13,21.0030
2020-08-12,20.7259
2020-08-11,20.1037
2020-08-10,20.8444
2020-08-07,21.3319
2020-08-06,21.7704
2020-08-05,21.6563
2020-08-04,21.6770
2020-08-03,21.0904
2020-07-31,20.9807
2020-07-30,20.5319
2020-07-29,20.1378
2020-07-28,19.9674
2020-07-27,20.1719
2020-07-24,20.0356
2020-07-23,20.0533
2020-07-22,20.4889
2020-07-21,20.6430
2020-07-20,20.9674
2020-07-17,20.4904
2020-07-16,20.4519
2020-07-15,20.5081
2020-07-14,20.5230
2020-07-13,20.0459
2020-07-10,20.8607
2020-07-09,20.5630
2020-07-08,20.0904
2020-07-07,19.9674
2020-07-06,19.8919
2020-07-02,19.8281
2020-07-01,20.0326
2020-06-30,19.5630
2020-06-29,12.7502
2020-06-26,12.7737
2020-06-25,12.7551
2020-06-24,12.7678
2020-06-23,12.7415
2020-06-22,12.6556
2020-06-19,12.7015
2020-06-18,12.6195
2020-06-17,12.4985
2020-06-16,12.2663
2020-06-15,12.3434
2020-06-12,11.8995
2020-06-11,11.9434
2020-06-10,12.1766
2020-06-09,11.8117
2020-06-08,11.6595
2020-06-05,11.5434
2020-06-04,11.4322
2020-06-03,11.5054
2020-06-02,11.9376
2020-06-01,11.9785
2020-05-29,11.9883
2020-05-28,11.8390
2020-05-27,11.4517
2020-05-26,11.3795
2020-05-22,11.6898
2020-05-21,11.4498
2020-05-20,11.6634
2020-05-19,11.5649
2020-05-18,11.4263
2020-05-15,11.5249
2020-05-14,11.4263
2020-05-13,11.4049
2020-05-12,11.3532
2020-05-11,11.4507
2020-05-08,11.3776
2020-05-07,11.3951
2020-05-06,11.2507
2020-05-05,11.6693
2020-05-04,11.3980
2020-05-01,11.0507
2020-04-30,11.1473
2020-04-29,11.0029
2020-04-28,10.8634
2020-04-27,11.3190
2020-04-24,11.3473
2020-04-23,11.1668
2020-04-22,11.1776
2020-04-21,11.0507
2020-04-20,11.2595
2020-04-17,11.2341
2020-04-16,11.5220
2020-04-15,11.0741
2020-04-14,10.9298
2020-04-13,10.6634
2020-04-09,10.3220
2020-04-08,10.4195
2020-04-07,10.3727
2020-04-06,10.3912
2020-04-03,10.0322
2020-04-02,9.9795
2020-04-01,9.5151
2020-03-31,9.7727
2020-03-30,10.2723
2020-03-27,10.0284
2020-03-26,10.4311
2020-03-25,9.4259
2020-03-24,9.9159
2020-03-23,10.0389
2020-03-20,9.1420
2020-03-19,9.4700
2020-03-18,9.4858
2020-03-17,10.0326
2020-03-16,9.3239
2020-03-13,10.2061
2020-03-12,9.8160
2020-03-11,10.6393
2020-03-10,10.8707
2020-03-09,10.6130
2020-03-06,11.3218
2020-03-05,11.5889
2020-03-04,11.7592
2020-03-03,11.2198
2020-03-02,11.2397
2020-02-28,10.6593
2020-02-27,10.8034
2020-02-26,11.2029
2020-02-25,11.0810
2020-02-24,11.2545
2020-02-21,11.3575
2020-02-20,11.4827
2020-02-19,11.5436
2020-02-18,11.5100
2020-02-14,11.5342
2020-02-13,11.4448
2020-02-12,11.5373
2020-02-11,11.4658
2020-02-10,11.4301
2020-02-07,11.4711
2020-02-06,11.5668
2020-02-05,11.3375
2020-02-04,11.2587
2020-02-03,11.0452
2020-01-31,11.3481
2020-01-30,11.7392
2020-01-29,11.7992
2020-01-28,11.7666
2020-01-27,11.6257
2020-01-24,11.8118
2020-01-23,11.9327
2020-01-22,11.8917
2020-01-21,11.8202
2020-01-17,11.8749
2020-01-16,11.6993
2020-01-15,11.5258
2020-01-14,11.5226
2020-01-13,11.5478
2020-01-10,11.4185
2020-01-09,11.4995
2020-01-08,11.5131
2020-01-07,11.3975
2020-01-06,11.4385
2020-01-03,11.2723
2020-01-02,11.2871
2019-12-31,11.3049
2019-12-30,11.6355
2019-12-27,11.7987
2019-12-26,11.8074
2019-12-24,11.8118
2019-12-23,11.7291
2019-12-20,11.7465
2019-12-19,11.6801
2019-12-18,11.6518
2019-12-17,11.5071
2019-12-16,11.5038
2019-12-13,11.3765
2019-12-12,11.4353
2019-12-11,11.2296
2019-12-10,11.0811
2019-12-09,11.1023
2019-12-06,11.2329
2019-12-05,11.1121
2019-12-04,10.9499
2019-12-03,11.0196
2019-12-02,10.9249
2019-11-29,10.9913
2019-11-27,10.9674
2019-11-26,10.8030
2019-11-25,10.8596
2019-11-22,10.7933
2019-11-21,10.7737
2019-11-20,10.6768
2019-11-19,10.5212
2019-11-18,10.5974
2019-11-15,10.6137
2019-11-14,10.6137
2019-11-13,10.4461
2019-11-12,10.4820
2019-11-11,10.4886
2019-11-08,10.6931
2019-11-07,10.5800
2019-11-06,10.7367
2019-11-05,10.6921
2019-11-04,10.6801
2019-11-01,10.3700
2019-10-31,10.4897
2019-10-30,10.5245
2019-10-29,10.2731
2019-10-28,10.5245
2019-10-25,10.4799
2019-10-24,10.4440
2019-10-23,10.4146
2019-10-22,10.2612
2019-10-21,10.4255
2019-10-18,10.3515
2019-10-17,10.5288
2019-10-16,10.4701
2019-10-15,10.3536
2019-10-14,10.2155
2019-10-11,10.2492
2019-10-10,10.0686
2019-10-09,10.1066
2019-10-08,10.0696
2019-10-07,10.1817
2019-10-04,10.4037
2019-10-03,10.2655
2019-10-02,10.2557
2019-10-01,10.5277
2019-09-30,10.6442
2019-09-27,13.4180
2019-09-26,13.5512
2019-09-25,13.6928
2019-09-24,13.6550
2019-09-23,13.7700
2019-09-20,13.8429
2019-09-19,13.9818
2019-09-18,13.7840
2019-09-17,13.8036
2019-09-16,13.9018
2019-09-13,13.8121
2019-09-12,13.7924
2019-09-11,13.9004
2019-09-10,13.9551
2019-09-09,13.8401
2019-09-06,13.8191
2019-09-05,13.6676
2019-09-04,13.7377
2019-09-03,13.3001
2019-08-30,13.1389
2019-08-29,13.0477
2019-08-28,12.9593
2019-08-27,13.1921
2019-08-26,13.2370
2019-08-23,13.0309
2019-08-22,13.2707
2019-08-21,13.1893
2019-08-20,13.0014
2019-08-19,12.7504
2019-08-16,12.5610
2019-08-15,12.3254
2019-08-14,12.3562
2019-08-13,12.9509
2019-08-12,12.8710
2019-08-09,12.8990
2019-08-08,13.3562
2019-08-07,12.9411
2019-08-06,12.6367
2019-08-05,12.4250
2019-08-02,13.0281
2019-08-01,13.2679
2019-07-31,12.9734
2019-07-30,12.4222
2019-07-29,12.4642
2019-07-26,12.5540
2019-07-25,12.5049
2019-07-24,12.5919
2019-07-23,12.3731
2019-07-22,12.3619
2019-07-19,12.2721
2019-07-18,12.5091
2019-07-17,12.5806
2019-07-16,12.5596
2019-07-15,12.9341
2019-07-12,13.0182
2019-07-11,13.1122
2019-07-10,13.1781
2019-07-09,12.9102
2019-07-08,13.1052
2019-07-05,13.1276
2019-07-03,13.7602
2019-07-02,14.4067
2019-07-01,14.1501
2019-06-30,14.2020
2019-06-28,30.4084
2019-06-27,29.7718
2019-06-26,29.2252
2019-06-25,29.0991
2019-06-24,29.7297
2019-06-21,28.6276
2019-06-20,27.9850
2019-06-19,27.8018
2019-06-18,27.6366
2019-06-17,27.7598
2019-06-14,27.8468
