Date,Open Price,High Price,Low Price,Close Price,Volume
2019-12-31,106.580000,107.520000,106.430000,107.510000,1436199
2019-12-30,108.110000,108.370000,106.760000,106.930000,1758520
2019-12-27,108.600000,108.890000,107.800000,108.430000,1163444
2019-12-26,108.560000,108.888000,108.110000,108.510000,1676723
2019-12-24,107.780000,108.870000,107.730000,108.550000,606064
2019-12-23,108.270000,108.920000,107.670000,107.790000,1622621
2019-12-20,108.020000,108.450000,107.060000,107.950000,3323415
2019-12-19,107.000000,107.880000,106.635000,107.340000,1541821
2019-12-18,106.000000,107.250000,105.635000,107.080000,1573464
2019-12-17,105.860000,106.225000,105.120000,105.750000,1374329
2019-12-16,105.010000,105.920000,104.820000,105.720000,1849042
2019-12-13,105.340000,105.840000,103.810000,104.550000,2451603
2019-12-12,103.540000,105.170000,103.190000,105.090000,2518596
2019-12-11,101.870000,103.510000,101.820000,103.200000,2096759
2019-12-10,101.840000,102.500000,101.290000,101.835000,2007659
2019-12-09,103.340000,103.500000,101.930000,102.030000,2000613
2019-12-06,102.890000,103.300000,102.350000,103.230000,2564125
2019-12-05,101.450000,102.270000,100.360200,102.120000,2262233
2019-12-04,101.770000,102.390000,100.420000,100.630000,2735172
2019-12-03,99.540000,101.465000,99.100000,101.270000,2624469
2019-12-02,101.420000,101.600000,99.570000,100.400000,2723721
2019-11-29,100.030000,102.000000,100.020000,101.010000,1271567
2019-11-27,100.090000,100.970000,98.750000,100.790000,1863518
2019-11-26,99.870000,100.140000,98.710000,99.280000,2827691
2019-11-25,99.280000,101.240000,99.280000,99.800000,2812498
2019-11-22,99.660000,99.928500,98.320000,99.190000,2690250
2019-11-21,98.250000,99.230000,98.210000,99.010000,2817254
2019-11-20,96.120000,98.910000,96.120000,98.120000,3035752
2019-11-19,97.210000,97.865000,96.320000,96.690000,3415364
2019-11-18,97.430000,98.095000,96.700000,97.390000,2646674
2019-11-15,98.850000,99.390000,97.369900,97.540000,3315572
2019-11-14,96.200000,98.480000,96.120000,97.540000,3300654
2019-11-13,96.620000,96.970000,95.540000,96.000000,2867812
2019-11-12,96.410000,96.830000,95.250000,96.330000,3684430
2019-11-11,97.550000,98.900000,96.310000,96.390000,2159911
2019-11-08,96.910000,98.500000,96.320000,98.270000,2306661
2019-11-07,99.290000,99.290000,97.020000,97.230000,2156356
2019-11-06,98.680000,99.180000,97.970000,98.670000,2448091
2019-11-05,98.130000,98.990000,96.630000,98.260000,2719942
2019-11-04,96.350000,98.525000,95.600000,98.150000,3840991
2019-11-01,97.120000,97.120000,95.080000,95.300000,3369715
2019-10-31,96.620000,96.720000,94.870000,96.400000,3263433
2019-10-30,94.250000,96.840000,92.560000,96.720000,7143500
2019-10-29,96.720000,97.520000,94.370000,94.410000,7032501
2019-10-28,97.000000,97.900000,96.200000,96.720000,3615734
2019-10-25,95.540000,96.350000,94.610000,96.310000,2070111
2019-10-24,96.160000,96.970000,95.170000,95.980000,3244711
2019-10-23,94.430000,96.250000,94.360000,95.710000,2159555
2019-10-22,94.170000,95.772000,93.210000,94.300000,3379523
2019-10-21,95.480000,96.830000,95.000000,95.810000,1999308
2019-10-18,96.050000,96.099900,94.050000,95.130000,3151465
2019-10-17,96.710000,98.000000,96.520000,96.760000,2427362
2019-10-16,94.410000,96.360000,94.400000,96.220000,2994892
2019-10-15,94.140000,95.284200,93.220100,95.150000,2185533
