Period,Japan Real GDP QoQ (Percent)
2020-12-31,7.9000
2020-09-30,24.2000
2020-06-30,-28.2000
2020-03-31,1.8000
2019-12-31,-10.4000
2019-09-30,0.9000
2019-06-30,1.2000
2019-03-31,0.9000
2018-12-31,-0.5000
2018-09-30,-2.0000
2018-06-30,1.1000
2018-03-31,0.4000
2017-12-31,0.5000
2017-09-30,3.4000
2017-06-30,1.3000
2017-03-31,3.3000
2016-12-31,0.6000
2016-09-30,0.8000
2016-06-30,-0.6000
2016-03-31,3.1000
2015-12-31,-0.6000
2015-09-30,0.3000
2015-06-30,0.4000
2015-03-31,6.3000
2014-12-31,2.0000
2014-09-30,0.4000
2014-06-30,-7.1000
2014-03-31,3.3000
2013-12-31,-0.5000
2013-09-30,3.9000
2013-06-30,3.6000
2013-03-31,5.6000
2012-12-31,-0.3000
2012-09-30,-1.5000
2012-06-30,-3.6000
2012-03-31,5.7000
2011-12-31,-0.6000
2011-09-30,10.1000
2011-06-30,-3.3000
2011-03-31,-4.2000
2010-12-31,-3.3000
2010-09-30,7.5000
2010-06-30,5.0000
2010-03-31,4.3000
