Period,Nintendo Co Ltd (NTDOF) Price
2019-12-31 00:00:00,40.381
2019-12-30 00:00:00,39.9499
2019-12-27 00:00:00,40.6
2019-12-26 00:00:00,39.736
2019-12-24 00:00:00,39.406
2019-12-23 00:00:00,40.064
2019-12-20 00:00:00,39.356
2019-12-19 00:00:00,40.056
2019-12-18 00:00:00,40.554
2019-12-17 00:00:00,41.68
2019-12-16 00:00:00,41.805
2019-12-13 00:00:00,40.9
2019-12-12 00:00:00,42.0
2019-12-11 00:00:00,42.2
2019-12-10 00:00:00,42.4
2019-12-09 00:00:00,41.261
2019-12-06 00:00:00,39.261
2019-12-05 00:00:00,41.1
2019-12-04 00:00:00,41.18
2019-12-03 00:00:00,40.51
2019-12-02 00:00:00,39.617
2019-11-29 00:00:00,38.9
2019-11-27 00:00:00,38.9
2019-11-26 00:00:00,38.937
2019-11-25 00:00:00,39.15
2019-11-22 00:00:00,38.055
2019-11-21 00:00:00,38.987532
2019-11-20 00:00:00,39.467
2019-11-19 00:00:00,39.0
2019-11-18 00:00:00,38.438764
2019-11-15 00:00:00,37.905
2019-11-14 00:00:00,38.325
2019-11-13 00:00:00,38.75
2019-11-12 00:00:00,38.93
2019-11-11 00:00:00,38.35
2019-11-08 00:00:00,38.58
2019-11-07 00:00:00,38.58
2019-11-06 00:00:00,38.4
2019-11-05 00:00:00,39.567167
2019-11-04 00:00:00,39.6
2019-11-01 00:00:00,39.996
2019-10-31 00:00:00,37.143
2019-10-30 00:00:00,35.1
2019-10-29 00:00:00,34.2
2019-10-28 00:00:00,34.096
2019-10-25 00:00:00,34.09
2019-10-24 00:00:00,35.25
2019-10-23 00:00:00,35.089
2019-10-22 00:00:00,35.35
2019-10-21 00:00:00,35.65
2019-10-18 00:00:00,35.636
2019-10-17 00:00:00,36.05
2019-10-16 00:00:00,36.95
2019-10-15 00:00:00,37.215
2019-10-14 00:00:00,37.0
2019-10-11 00:00:00,37.312
2019-10-10 00:00:00,37.25
2019-10-09 00:00:00,38.05
2019-10-08 00:00:00,37.595
2019-10-07 00:00:00,37.75
2019-10-04 00:00:00,38.282
2019-10-03 00:00:00,37.989
2019-10-02 00:00:00,37.463
2019-10-01 00:00:00,36.739
2019-09-30 00:00:00,37.2
2019-09-27 00:00:00,37.862
2019-09-26 00:00:00,37.9
2019-09-25 00:00:00,37.9
2019-09-24 00:00:00,38.195
