Period,US Real GDP QoQ (Percent)
2020-12-31,3.9000
2020-09-30,35.3000
2020-06-30,-29.9000
2020-03-31,-4.6000
2019-12-31,1.8000
2019-09-30,3.6000
2019-06-30,2.7000
2019-03-31,2.2000
2018-12-31,0.7000
2018-09-30,2.9000
2018-06-30,2.8000
2018-03-31,2.8000
2017-12-31,4.1000
2017-09-30,3.4000
2017-06-30,2.0000
2017-03-31,1.7000
2016-12-31,2.0000
2016-09-30,2.4000
2016-06-30,1.2000
2016-03-31,2.4000
2015-12-31,0.6000
2015-09-30,1.3000
2015-06-30,2.3000
2015-03-31,3.8000
2014-12-31,2.3000
2014-09-30,5.0000
2014-06-30,5.5000
2014-03-31,-1.1000
2013-12-31,3.2000
2013-09-30,3.2000
2013-06-30,0.5000
2013-03-31,3.6000
2012-12-31,0.5000
2012-09-30,0.5000
2012-06-30,1.7000
2012-03-31,3.2000
2011-12-31,4.7000
2011-09-30,-0.1000
2011-06-30,2.9000
2011-03-31,-1.0000
2010-12-31,2.0000
2010-09-30,3.0000
2010-06-30,3.7000
2010-03-31,1.5000
