Date,Close/Last,Volume,Open,High,Low
01/13/2023,$23.47,216,$23.47,$23.47,$23.47
01/12/2023,$21.89,37081,$22.43,$22.43,$21.59
01/11/2023,$23,1455,$25.84,$25.84,$22.75
01/10/2023,$25.475,408,$25.2,$25.475,$25.2
01/09/2023,$26.885,509,$26.75,$26.885,$26.75
01/06/2023,$28.9593,N/A,$28.9593,$28.9593,$28.9593
01/05/2023,$28.9593,1005,$28.9593,$28.9593,$28.9593
01/04/2023,$28.84,N/A,$28.84,$28.84,$28.84
01/03/2023,$28.84,514,$28.95,$28.95,$28.84
12/30/2022,$28.75,808,$27.75,$28.75,$27.75
12/29/2022,$27.82,170,$27.82,$27.82,$27.82
12/28/2022,$27.755,620,$27.755,$27.755,$27.755
12/27/2022,$26.79,327,$26.79,$26.79,$26.79
12/23/2022,$27.16,846,$27.16,$27.16,$27.16
12/22/2022,$26.38,853,$27.55,$27.85,$26.38
12/21/2022,$28.1,281,$27.54,$28.1,$27.54
12/20/2022,$27.7,N/A,$27.7,$27.7,$27.7
12/19/2022,$27.7,1310,$26.8701,$27.7,$26.8701
12/16/2022,$26.75,743,$27.4,$27.4,$26.75
12/15/2022,$26.9199,1306,$27.68,$27.68,$26.9199
12/14/2022,$28.63,2294,$29.1,$29.1,$28.63
12/13/2022,$28.3899,547,$28.3899,$28.3899,$28.3899
12/12/2022,$28.45,297,$28.45,$28.45,$28.45
12/09/2022,$28.3,N/A,$28.3,$28.3,$28.3
12/08/2022,$28.3,1539,$28.3,$28.3,$28.3
12/07/2022,$28.1001,2038,$29.485,$29.495,$28.1001
12/06/2022,$27.55,319,$27.55,$27.55,$27.55
12/05/2022,$30.24,767,$29.7,$30.24,$29.7
12/02/2022,$29.85,1327,$29.85,$29.85,$29.85
12/01/2022,$27.62,462,$28.79,$28.79,$27.62
11/30/2022,$27.2973,1434,$27.2973,$27.2973,$27.2973
11/29/2022,$26.45,352,$26.45,$26.45,$26.45
11/28/2022,$26.88,455,$27.565,$27.565,$26.88
11/25/2022,$27.115,N/A,$27.115,$27.115,$27.115
