Period,Open,High,Low,Close
2019-06-28,204.567800,204.567800,204.567800,204.567800
2019-06-27,205.073600,205.073600,205.073600,205.073600
2019-06-26,202.416000,202.416000,202.416000,202.416000
2019-06-25,203.364600,203.364600,203.364600,203.364600
2019-06-24,205.593400,205.593400,205.593400,205.593400
2019-06-21,205.546300,205.546300,205.546300,205.546300
2019-06-20,26.995200,26.995200,26.995200,26.995200
2019-06-19,206.454000,206.454000,206.454000,206.454000
2019-06-18,202.872500,202.872500,202.872500,202.872500
2019-06-17,204.231000,204.231000,204.231000,204.231000
2019-06-14,205.100600,205.100600,205.100600,205.100600
2019-06-13,204.602100,204.602100,204.602100,204.602100
2019-06-12,206.213600,206.213600,206.213600,206.213600
2019-06-11,207.250400,207.250400,207.250400,207.250400
2019-06-10,206.052400,206.052400,206.052400,206.052400
2019-06-07,203.690100,203.690100,203.690100,203.690100
2019-06-06,202.426400,202.426400,202.426400,202.426400
2019-06-05,203.531800,203.531800,203.531800,203.531800
2019-06-04,199.425300,199.425300,199.425300,199.425300
2019-06-03,198.673700,198.673700,198.673700,198.673700
2019-05-31,200.321300,200.321300,200.321300,200.321300
2019-05-30,203.378500,203.378500,203.378500,203.378500
2019-05-29,203.462600,203.462600,203.462600,203.462600
2019-05-28,205.541000,205.541000,205.541000,205.541000
2019-05-24,204.876700,204.876700,204.876700,204.876700
2019-05-23,205.069300,205.069300,205.069300,205.069300
2019-05-22,206.263700,206.263700,206.263700,206.263700
2019-05-21,206.679800,206.679800,206.679800,206.679800
2019-05-20,207.364300,207.364300,207.364300,207.364300
2019-05-17,206.874500,206.880200,206.868900,206.880200
2019-05-16,205.125900,205.125900,205.125900,205.125900
2019-05-15,206.105000,206.105000,206.105000,206.105000
2019-05-14,204.947600,204.947600,204.947600,204.947600
2019-05-13,206.116600,206.116600,206.116600,206.116600
2019-05-10,207.153400,207.153400,207.153400,207.153400
2019-05-09,207.408800,207.408800,207.408800,207.408800
2019-05-08,210.381100,210.381100,210.381100,210.381100
2019-05-07,214.513400,214.513400,214.513400,214.513400
2019-05-06,217.788000,217.788000,217.787900,217.787900
2019-05-03,217.788000,217.788000,217.787900,217.787900
2019-05-02,217.788000,217.788000,217.787900,217.787900
2019-05-01,217.788000,217.788000,217.787900,217.787900
2019-04-30,26.912800,26.912800,26.912800,26.912800
2019-04-29,217.788000,217.788000,217.787900,217.787900
2019-04-26,217.787900,217.787900,217.787900,217.787900
2019-04-25,218.170400,218.170400,218.170400,218.170400
2019-04-24,216.703200,216.703200,216.703200,216.703200
2019-04-23,218.250900,218.250900,218.250900,218.250900
2019-04-22,217.552600,217.552600,217.552600,217.552600
2019-04-18,217.053300,217.053300,217.053300,217.053300
2019-04-17,219.297900,219.297900,219.297900,219.297900
2019-04-16,218.622300,218.622300,218.622300,218.622300
2019-04-15,219.182800,219.182800,219.182800,219.182800
2019-04-12,216.144000,216.144000,216.144000,216.144000
2019-04-11,216.589400,216.589400,216.589400,216.589400
2019-04-10,216.579800,216.579800,216.579800,216.579800
