Period,Open,High,Low,Close
2023-02-17,258.300100,258.300100,257.693400,257.693400
2023-02-16,257.213700,258.300100,257.213700,258.300100
2023-02-15,257.853300,257.853300,257.213700,257.213700
2023-02-14,256.276500,257.853300,256.276500,257.853300
2023-02-13,257.262500,257.262500,256.276500,256.276500
2023-02-10,257.262500,257.262500,257.262500,257.262500
2023-02-09,256.727300,256.727300,256.727300,256.727300
2023-02-08,256.562100,256.562100,256.562100,256.562100
2023-02-07,256.481100,256.481100,256.481100,256.481100
2023-02-06,256.468100,256.468100,256.468100,256.468100
2023-02-03,254.772300,254.772300,254.772300,254.772300
2023-02-02,254.335200,254.335200,254.335200,254.335200
2023-02-01,255.895500,255.895500,255.895500,255.895500
2023-01-31,256.745300,256.745300,256.745300,256.745300
2023-01-30,256.611900,256.611900,256.611900,256.611900
2023-01-27,256.490800,256.490800,256.490800,256.490800
2023-01-26,256.390700,256.390700,256.390700,256.390700
2023-01-25,256.359900,256.359900,256.359900,256.359900
2023-01-24,254.980900,254.980900,254.980900,254.980900
2023-01-23,251.209600,251.209600,251.209600,251.209600
2023-01-20,249.086900,249.086900,249.086900,249.086900
2023-01-19,247.204000,247.204000,247.204000,247.204000
2023-01-18,249.709800,249.709800,249.709800,249.709800
2023-01-17,244.966600,244.966600,244.966600,244.966600
2023-01-13,245.946300,245.946300,245.946300,245.946300
2023-01-12,246.773300,246.773300,246.773300,246.773300
2023-01-11,246.485500,246.485500,246.485500,246.485500
2023-01-10,244.402600,244.402600,244.402600,244.402600
2023-01-09,243.089800,243.089800,243.089800,243.089800
2023-01-06,243.089800,243.089800,243.089800,243.089800
2023-01-05,242.200200,242.200200,242.200200,242.200200
2023-01-04,242.362900,242.362900,242.362900,242.362900
2023-01-03,246.464700,246.464700,246.464700,246.464700
2022-12-30,246.464700,246.464700,246.464700,246.464700
2022-12-29,246.728900,246.728900,246.728900,246.728900
2022-12-28,249.179600,249.179600,249.179600,249.179600
2022-12-27,249.255300,249.255300,249.255300,249.255300
2022-12-23,247.668400,247.668400,247.668400,247.668400
2022-12-22,249.517000,249.517000,249.517000,249.517000
2022-12-21,247.887200,247.887200,247.887200,247.887200
2022-12-20,254.121300,254.121300,249.597300,249.597300
2022-12-19,256.684700,256.684700,254.121300,254.121300
2022-12-16,259.641300,259.641300,256.684700,256.684700
2022-12-15,259.696700,259.696700,259.641300,259.641300
2022-12-14,259.696700,259.696700,259.696700,259.696700
2022-12-13,258.315100,258.315100,258.315100,258.315100
2022-12-12,257.224800,257.224800,257.224800,257.224800
2022-12-09,255.256100,257.730100,255.256100,257.730100
2022-12-08,256.233600,256.233600,255.256100,255.256100
2022-12-07,256.472400,256.472400,256.233600,256.233600
2022-12-06,256.264400,256.472400,256.264400,256.472400
2022-12-05,257.024200,257.024200,256.264400,256.264400
2022-12-02,261.193700,261.193700,257.024200,257.024200
2022-12-01,260.897200,261.193700,260.897200,261.193700
2022-11-30,261.336600,261.336600,260.897200,260.897200
2022-11-29,262.640400,262.640400,261.336600,261.336600
2022-11-28,264.149700,264.149700,262.640400,262.640400
2022-11-25,261.331700,264.149700,261.331700,264.149700
2022-11-23,261.331700,261.331700,261.331700,261.331700
2022-11-22,258.688900,261.331700,258.688900,261.331700
2022-11-21,257.900400,258.688900,257.900400,258.688900
2022-11-18,257.900400,257.900400,257.900400,257.900400
2022-11-17,257.599900,257.599900,257.599900,257.599900
2022-11-16,257.018200,257.018200,256.605800,256.605800
2022-11-15,257.018200,257.018200,257.018200,257.018200
2022-11-14,256.406900,256.406900,256.406900,256.406900
2022-11-11,254.646100,259.445700,254.646100,259.445700
2022-11-10,256.107300,256.107300,254.646100,254.646100
2022-11-09,256.990200,256.990200,256.107300,256.107300
2022-11-08,254.257300,256.990200,254.257300,256.990200
2022-11-07,252.073300,254.257300,252.073300,254.257300
2022-11-04,255.447600,255.447600,252.073300,252.073300
2022-11-03,255.447600,255.447600,255.447600,255.447600
2022-11-02,255.034300,255.447600,255.034300,255.447600
2022-11-01,254.407400,255.034300,254.407400,255.034300
2022-10-31,250.805200,254.407400,250.805200,254.407400
2022-10-28,251.492500,251.492500,250.805200,250.805200
2022-10-27,253.368000,253.368000,251.492500,251.492500
2022-10-26,252.278400,253.368000,252.278400,253.368000
2022-10-25,249.704000,252.278400,249.704000,252.278400
2022-10-24,248.969600,249.704000,248.969600,249.704000
2022-10-21,251.551100,251.551100,248.969600,248.969600
2022-10-20,253.192900,253.192900,251.551100,251.551100
2022-10-19,252.560100,253.192900,252.560100,253.192900
2022-10-18,249.742900,252.560100,249.742900,252.560100
2022-10-17,252.184400,252.184400,249.742900,249.742900
2022-10-14,246.401800,252.184400,246.401800,252.184400
2022-10-13,248.372100,248.372100,246.401800,246.401800
2022-10-12,248.397600,248.397600,248.372100,248.372100
2022-10-11,252.865000,252.865000,248.397600,248.397600
2022-10-10,252.865000,252.865000,252.865000,252.865000
2022-10-07,252.865000,252.865000,252.865000,252.865000
2022-10-06,255.052500,255.052500,255.052500,255.052500
2022-10-05,253.976600,253.976600,253.976600,253.976600
2022-10-04,253.432300,253.432300,253.432300,253.432300
2022-10-03,246.169500,246.169500,246.169500,246.169500
2022-09-30,245.019700,245.019700,245.019700,245.019700
2022-09-29,248.472200,248.472200,248.472200,248.472200
2022-09-28,246.091500,246.091500,246.091500,246.091500
2022-09-27,248.508300,248.508300,248.508300,248.508300
2022-09-26,247.097600,247.097600,247.097600,247.097600
2022-09-23,253.945500,253.945500,253.945500,253.945500
2022-09-22,253.945500,253.945500,253.945500,253.945500
2022-09-21,254.714900,254.714900,254.714900,254.714900
2022-09-20,257.255700,258.080100,257.255700,258.080100
2022-09-19,257.255700,257.255700,257.255700,257.255700
2022-09-16,259.029300,259.029300,257.255700,257.255700
2022-09-15,258.778900,259.029300,258.778900,259.029300
2022-09-14,264.076300,264.076300,258.778900,258.778900
2022-09-13,262.836600,264.076300,262.836600,264.076300
2022-09-12,260.643500,262.836600,260.643500,262.836600
2022-09-09,259.471100,260.643500,259.471100,260.643500
2022-09-08,254.091600,259.471100,254.091600,259.471100
2022-09-07,255.899100,255.899100,254.091600,254.091600
2022-09-06,256.767200,256.767200,255.899100,255.899100
2022-09-02,257.326200,257.326200,256.767200,256.767200
2022-09-01,261.189500,261.189500,257.326200,257.326200
2022-08-31,261.527400,261.527400,261.189500,261.189500
2022-08-30,258.237100,261.527400,258.237100,261.527400
2022-08-29,263.584400,263.584400,258.237100,258.237100
2022-08-26,263.074600,263.584400,263.074600,263.584400
2022-08-25,261.800200,263.074600,261.800200,263.074600
2022-08-24,262.143000,262.143000,261.800200,261.800200
2022-08-23,264.335600,264.335600,262.143000,262.143000
2022-08-22,264.786400,264.786400,264.335600,264.335600
2022-08-19,264.466200,264.786400,264.466200,264.786400
2022-08-18,266.585400,266.585400,264.466200,264.466200
2022-08-17,263.509900,266.585400,263.509900,266.585400
2022-08-16,264.231400,264.231400,263.509900,263.509900
2022-08-15,263.109500,264.231400,263.109500,264.231400
2022-08-12,257.948100,263.109500,257.948100,263.109500
2022-08-11,257.948100,257.948100,257.948100,257.948100
2022-08-10,258.486200,258.486200,257.948100,257.948100
2022-08-09,259.308800,259.308800,258.486200,258.486200
2022-08-08,258.977200,259.308800,258.977200,259.308800
2022-08-05,257.162600,258.977200,257.162600,258.977200
2022-08-04,256.572000,257.162600,256.572000,257.162600
2022-08-03,255.876200,256.572000,255.876200,256.572000
2022-08-02,259.792800,259.792800,255.876200,255.876200
2022-08-01,257.097000,259.792800,257.097000,259.792800
2022-07-29,257.615900,257.615900,257.097000,257.097000
2022-07-28,257.191500,257.615900,257.191500,257.615900
2022-07-27,256.384700,257.191500,256.384700,257.191500
2022-07-26,256.664500,256.664500,256.384700,256.384700
2022-07-25,257.807000,257.807000,256.664500,256.664500
2022-07-22,256.842500,257.807000,256.842500,257.807000
2022-07-21,256.106400,256.842500,256.106400,256.842500
2022-07-20,250.200700,256.106400,250.200700,256.106400
2022-07-19,248.496200,250.200700,248.496200,250.200700
2022-07-18,248.496200,248.496200,248.496200,248.496200
2022-07-15,248.496200,248.496200,248.496200,248.496200
2022-07-14,249.024400,249.024400,249.024400,249.024400
2022-07-13,248.396200,248.396200,248.396200,248.396200
2022-07-12,247.807500,247.807500,247.807500,247.807500
2022-07-11,251.883700,251.883700,251.883700,251.883700
2022-07-08,248.595200,248.595200,248.595200,248.595200
2022-07-07,247.754700,247.754700,247.754700,247.754700
2022-07-06,244.174300,244.174300,244.174300,244.174300
2022-07-05,247.640500,247.640500,247.640500,247.640500
2022-07-01,243.953700,243.953700,243.953700,243.953700
2022-06-30,247.213200,247.213200,247.213200,247.213200
2022-06-29,250.194600,250.194600,250.194600,250.194600
2022-06-28,251.724300,251.724300,251.724300,251.724300
2022-06-27,249.288900,249.288900,249.288900,249.288900
2022-06-24,246.234800,246.234800,246.234800,246.234800
2022-06-23,243.946000,243.946000,243.946000,243.946000
2022-06-22,245.340200,245.340200,244.343800,244.343800
2022-06-21,243.687800,245.340200,243.687800,245.340200
2022-06-17,248.000800,248.000800,243.687800,243.687800
2022-06-16,248.000800,248.000800,248.000800,248.000800
2022-06-15,246.732700,246.732700,246.732700,246.732700
2022-06-14,249.526000,249.526000,249.526000,249.526000
2022-06-13,252.002800,252.002800,252.002800,252.002800
2022-06-10,257.517800,257.517800,257.517800,257.517800
2022-06-09,260.523100,260.523100,260.523100,260.523100
2022-06-08,261.590500,261.590500,261.590500,261.590500
2022-06-07,258.887300,258.887300,258.887300,258.887300
2022-06-06,257.858400,257.858400,257.858400,257.858400
2022-06-03,256.914400,256.914400,256.914400,256.914400
2022-06-02,255.588000,255.588000,255.588000,255.588000
2022-06-01,256.785300,256.785300,256.785300,256.785300
2022-05-31,252.889400,252.889400,252.889400,252.889400
2022-05-27,250.406000,250.406000,250.406000,250.406000
2022-05-26,248.398900,248.398900,248.398900,248.398900
2022-05-25,248.611900,248.611900,248.611900,248.611900
2022-05-24,248.605100,248.605100,248.605100,248.605100
2022-05-23,250.744600,250.744600,250.744600,250.744600
2022-05-20,246.547400,248.619800,246.547400,248.619800
2022-05-19,249.937300,249.937300,246.547400,246.547400
2022-05-18,247.764700,249.937300,247.764700,249.937300
2022-05-17,247.422100,247.764700,247.422100,247.764700
2022-05-16,248.185000,248.185000,247.422100,247.422100
2022-05-13,248.185000,248.185000,248.185000,248.185000
2022-05-12,244.075000,244.075000,244.075000,244.075000
2022-05-11,246.350800,246.350800,246.350800,246.350800
2022-05-10,247.156500,247.156500,247.156500,247.156500
2022-05-09,249.410700,249.410700,249.410700,249.410700
2022-05-06,254.408200,254.408200,254.408200,254.408200
2022-05-05,251.433500,251.433500,251.433500,251.433500
2022-05-04,251.433500,251.433500,251.433500,251.433500
2022-05-03,251.433500,251.433500,251.433500,251.433500
2022-05-02,251.433500,251.433500,251.433500,251.433500
2022-04-29,250.807000,250.807000,250.807000,250.807000
2022-04-28,250.807000,250.807000,250.807000,250.807000
2022-04-27,246.925600,246.925600,246.925600,246.925600
2022-04-26,249.138700,249.138700,249.138700,249.138700
2022-04-25,248.539500,248.539500,248.539500,248.539500
2022-04-22,252.807000,252.807000,252.807000,252.807000
2022-04-21,255.762300,255.762300,255.762300,255.762300
2022-04-20,253.656100,253.656100,253.656100,253.656100
2022-04-19,250.946500,250.946500,250.946500,250.946500
2022-04-18,248.651000,248.651000,248.651000,248.651000
2022-04-14,252.503800,252.503800,252.503800,252.503800
2022-04-13,249.387400,249.387400,249.387400,249.387400
2022-04-12,245.738600,245.738600,245.738600,245.738600
2022-04-11,249.391300,249.391300,249.391300,249.391300
2022-04-08,249.896900,249.896900,249.896900,249.896900
2022-04-07,249.173600,249.173600,249.173600,249.173600
2022-04-06,252.979000,252.979000,252.979000,252.979000
2022-04-05,257.014800,257.014800,257.014800,257.014800
2022-04-04,258.179600,258.179600,258.179600,258.179600
2022-04-01,257.174300,257.174300,257.174300,257.174300
2022-03-31,258.320400,258.320400,258.320400,258.320400
2022-03-30,260.719200,260.719200,260.719200,260.719200
2022-03-29,263.839700,263.839700,263.839700,263.839700
2022-03-28,262.089300,262.089300,262.089300,262.089300
2022-03-25,263.494900,263.494900,263.494900,263.494900
2022-03-24,263.152300,263.152300,263.152300,263.152300
2022-03-23,263.533000,263.533000,263.533000,263.533000
2022-03-22,255.463000,258.498700,255.463000,258.498700
2022-03-21,255.463000,255.463000,255.463000,255.463000
2022-03-18,255.463000,255.463000,255.463000,255.463000
2022-03-17,254.272400,254.272400,254.272400,254.272400
2022-03-16,245.583500,248.812100,245.583500,248.812100
2022-03-15,244.160200,245.583500,244.160200,245.583500
2022-03-14,241.707400,244.160200,241.707400,244.160200
2022-03-11,244.720400,244.720400,241.707400,241.707400
2022-03-10,234.675000,244.720400,234.675000,244.720400
2022-03-09,235.328000,235.328000,234.675000,234.675000
2022-03-08,240.718600,240.718600,235.328000,235.328000
2022-03-07,246.556900,246.556900,240.718600,240.718600
2022-03-04,251.089800,251.089800,246.556900,246.556900
2022-03-03,247.936500,251.089800,247.936500,251.089800
