Period,Nasdaq-100 (^NDX) Level
2019-12-31 00:00:00,8733.0728
2019-12-30 00:00:00,8709.7271
2019-12-27 00:00:00,8770.9791
2019-12-26 00:00:00,8778.3138
2019-12-25 00:00:00,8699.5055
2019-12-24 00:00:00,8699.5055
2019-12-23 00:00:00,8696.0072
2019-12-20 00:00:00,8678.491
2019-12-19 00:00:00,8641.2913
2019-12-18 00:00:00,8580.6241
2019-12-17 00:00:00,8575.6998
2019-12-16 00:00:00,8570.3342
2019-12-13 00:00:00,8487.7083
2019-12-12 00:00:00,8466.8941
2019-12-11 00:00:00,8402.6089
2019-12-10 00:00:00,8354.2925
2019-12-09 00:00:00,8362.7436
2019-12-06 00:00:00,8397.3672
2019-12-05 00:00:00,8308.3967
2019-12-04 00:00:00,8296.5294
2019-12-03 00:00:00,8254.737
2019-12-02 00:00:00,8309.26
2019-11-29 00:00:00,8403.6849
2019-11-28 00:00:00,8444.7089
2019-11-27 00:00:00,8444.7089
2019-11-26 00:00:00,8385.7452
2019-11-25 00:00:00,8371.928
2019-11-22 00:00:00,8272.0525
2019-11-21 00:00:00,8265.6182
2019-11-20 00:00:00,8283.7529
2019-11-19 00:00:00,8338.7373
2019-11-18 00:00:00,8328.4789
2019-11-15 00:00:00,8315.5231
2019-11-14 00:00:00,8257.8308
2019-11-13 00:00:00,8259.8132
2019-11-12 00:00:00,8263.7887
2019-11-11 00:00:00,8241.9118
2019-11-08 00:00:00,8255.8859
2019-11-07 00:00:00,8219.6464
2019-11-06 00:00:00,8196.0279
2019-11-05 00:00:00,8210.1753
2019-11-04 00:00:00,8210.6645
2019-11-01 00:00:00,8161.167
2019-10-31 00:00:00,8083.8324
2019-10-30 00:00:00,8083.1126
2019-10-29 00:00:00,8047.5086
2019-10-28 00:00:00,8110.6691
2019-10-25 00:00:00,8029.2172
2019-10-24 00:00:00,7966.7186
2019-10-23 00:00:00,7889.4726
2019-10-22 00:00:00,7874.6156
2019-10-21 00:00:00,7940.3309
2019-10-18 00:00:00,7868.4908
2019-10-17 00:00:00,7942.1435
2019-10-16 00:00:00,7920.2088
2019-10-15 00:00:00,7942.8509
2019-10-14 00:00:00,7842.3337
2019-10-11 00:00:00,7843.875
2019-10-10 00:00:00,7740.3623
2019-10-09 00:00:00,7690.5292
2019-10-08 00:00:00,7604.2697
2019-10-07 00:00:00,7725.1295
2019-10-04 00:00:00,7754.1025
2019-10-03 00:00:00,7638.3946
2019-10-02 00:00:00,7550.7861
2019-10-01 00:00:00,7684.1422
2019-09-30 00:00:00,7749.4487
2019-09-27 00:00:00,7681.5785
2019-09-26 00:00:00,7771.9921
2019-09-25 00:00:00,7803.5413
2019-09-24 00:00:00,7710.0444
2019-09-23 00:00:00,7818.61
2019-09-20 00:00:00,7823.5533
2019-09-19 00:00:00,7901.7921
2019-09-18 00:00:00,7888.5562
2019-09-17 00:00:00,7888.7863
2019-09-16 00:00:00,7852.4124
2019-09-13 00:00:00,7892.9546
2019-09-12 00:00:00,7917.3398
2019-09-11 00:00:00,7887.5806
2019-09-10 00:00:00,7814.7423
2019-09-09 00:00:00,7832.4032
2019-09-06 00:00:00,7852.5386
2019-09-05 00:00:00,7862.5391
2019-09-04 00:00:00,7719.2464
2019-09-03 00:00:00,7609.5132
2019-09-02 00:00:00,7690.9978
2019-08-30 00:00:00,7690.9978
2019-08-29 00:00:00,7702.3117
2019-08-28 00:00:00,7587.8962
2019-08-27 00:00:00,7566.0273
2019-08-26 00:00:00,7575.0186
2019-08-23 00:00:00,7464.9945
2019-08-22 00:00:00,7707.4271
2019-08-21 00:00:00,7733.2157
2019-08-20 00:00:00,7664.4709
2019-08-19 00:00:00,7719.3233
2019-08-16 00:00:00,7604.1088
2019-08-15 00:00:00,7484.8879
2019-08-14 00:00:00,7490.1304
2019-08-13 00:00:00,7728.1515
2019-08-12 00:00:00,7561.6824
2019-08-09 00:00:00,7646.2678
2019-08-08 00:00:00,7724.8298
2019-08-07 00:00:00,7551.8998
2019-08-06 00:00:00,7521.3219
2019-08-05 00:00:00,7415.6907
2019-08-02 00:00:00,7692.8005
2019-08-01 00:00:00,7801.1464
2019-07-31 00:00:00,7848.7798
2019-07-30 00:00:00,7952.4727
2019-07-29 00:00:00,7989.0819
2019-07-26 00:00:00,8016.9528
2019-07-25 00:00:00,7929.8668
2019-07-24 00:00:00,8010.605
2019-07-23 00:00:00,7954.5643
2019-07-22 00:00:00,7905.1193
2019-07-19 00:00:00,7834.8968
2019-07-18 00:00:00,7904.1321
2019-07-17 00:00:00,7888.762
2019-07-16 00:00:00,7927.0771
2019-07-15 00:00:00,7966.9262
2019-07-12 00:00:00,7943.2411
2019-07-11 00:00:00,7896.7758
2019-07-10 00:00:00,7903.4007
2019-07-09 00:00:00,7826.8583
2019-07-08 00:00:00,7785.7867
2019-07-05 00:00:00,7841.301
2019-07-04 00:00:00,7819.063
2019-07-03 00:00:00,7819.063
2019-07-02 00:00:00,7799.8235
2019-07-01 00:00:00,7768.1382
2019-06-28 00:00:00,7671.0749
2019-06-27 00:00:00,7657.0483
2019-06-26 00:00:00,7627.0509
2019-06-25 00:00:00,7591.5363
2019-06-24 00:00:00,7723.0215
2019-06-21 00:00:00,7728.7816
2019-06-20 00:00:00,7738.0547
2019-06-19 00:00:00,7667.7384
2019-06-18 00:00:00,7635.4001
2019-06-17 00:00:00,7526.5194
2019-06-14 00:00:00,7479.1115
2019-06-13 00:00:00,7510.6834
2019-06-12 00:00:00,7472.2944
2019-06-11 00:00:00,7513.8491
2019-06-10 00:00:00,7501.9289
2019-06-07 00:00:00,7417.2913
2019-06-06 00:00:00,7275.9267
2019-06-05 00:00:00,7220.9032
2019-06-04 00:00:00,7166.7474
2019-06-03 00:00:00,6978.0175
2019-05-31 00:00:00,7127.9561
2019-05-30 00:00:00,7245.4029
2019-05-29 00:00:00,7216.8587
2019-05-28 00:00:00,7278.3759
2019-05-24 00:00:00,7300.9608
2019-05-23 00:00:00,7307.9335
2019-05-22 00:00:00,7420.6561
2019-05-21 00:00:00,7451.0196
2019-05-20 00:00:00,7376.7034
2019-05-17 00:00:00,7503.6797
2019-05-16 00:00:00,7580.1423
2019-05-15 00:00:00,7503.2456
2019-05-14 00:00:00,7401.8837
2019-05-13 00:00:00,7324.1322
2019-05-10 00:00:00,7586.5311
2019-05-09 00:00:00,7582.7464
2019-05-08 00:00:00,7617.5496
2019-05-07 00:00:00,7640.1491
2019-05-06 00:00:00,7794.0929
2019-05-03 00:00:00,7845.7292
2019-05-02 00:00:00,7724.0562
2019-05-01 00:00:00,7751.8469
2019-04-30 00:00:00,7781.4557
2019-04-29 00:00:00,7839.0383
2019-04-26 00:00:00,7826.6791
2019-04-25 00:00:00,7816.919
2019-04-24 00:00:00,7784.4126
2019-04-23 00:00:00,7810.7062
2019-04-22 00:00:00,7713.4948
2019-04-18 00:00:00,7689.7151
2019-04-17 00:00:00,7680.7175
2019-04-16 00:00:00,7654.7314
2019-04-15 00:00:00,7629.1198
2019-04-12 00:00:00,7628.1498
2019-04-11 00:00:00,7594.89
2019-04-10 00:00:00,7611.4878
2019-04-09 00:00:00,7568.4863
2019-04-08 00:00:00,7599.7424
2019-04-05 00:00:00,7578.84
2019-04-04 00:00:00,7540.5676
2019-04-03 00:00:00,7544.9715
2019-04-02 00:00:00,7499.6388
2019-04-01 00:00:00,7478.4156
2019-03-29 00:00:00,7378.7715
2019-03-28 00:00:00,7320.4723
2019-03-27 00:00:00,7308.1931
2019-03-26 00:00:00,7351.1502
2019-03-25 00:00:00,7316.9577
2019-03-22 00:00:00,7326.0567
2019-03-21 00:00:00,7493.2694
2019-03-20 00:00:00,7380.7537
2019-03-19 00:00:00,7349.2783
2019-03-18 00:00:00,7326.2815
2019-03-15 00:00:00,7306.9872
2019-03-14 00:00:00,7243.0136
2019-03-13 00:00:00,7256.9815
2019-03-12 00:00:00,7201.2813
2019-03-11 00:00:00,7164.0204
2019-03-08 00:00:00,7015.69
2019-03-07 00:00:00,7026.8827
2019-03-06 00:00:00,7112.4677
2019-03-05 00:00:00,7156.7851
2019-03-04 00:00:00,7150.8333
2019-03-01 00:00:00,7151.5721
2019-02-28 00:00:00,7097.5255
2019-02-27 00:00:00,7117.0046
2019-02-26 00:00:00,7123.2157
2019-02-25 00:00:00,7115.4261
2019-02-22 00:00:00,7090.625
2019-02-21 00:00:00,7035.164
2019-02-20 00:00:00,7062.3385
2019-02-19 00:00:00,7066.6121
2019-02-15 00:00:00,7055.1793
2019-02-14 00:00:00,7022.4191
2019-02-13 00:00:00,7015.8758
2019-02-12 00:00:00,7014.669
2019-02-11 00:00:00,6909.1847
2019-02-08 00:00:00,6913.1299
2019-02-07 00:00:00,6904.9806
2019-02-06 00:00:00,6997.6223
2019-02-05 00:00:00,7023.5208
2019-02-04 00:00:00,6959.9569
2019-02-01 00:00:00,6875.5179
2019-01-31 00:00:00,6906.8393
2019-01-30 00:00:00,6807.9089
2019-01-29 00:00:00,6632.7924
2019-01-28 00:00:00,6697.0868
2019-01-25 00:00:00,6787.3714
