Date,Open Price,High Price,Low Price,Close Price,Volume
2023-02-17,58.250000,58.640000,58.080000,58.560000,1143699
2023-02-16,58.870000,59.100000,58.380000,58.440000,1167362
2023-02-15,58.310000,59.220000,58.270000,59.160000,1732788
2023-02-14,59.540000,59.970000,58.430000,58.620000,1870295
2023-02-13,59.890000,60.140000,59.160000,59.590000,1974541
2023-02-10,58.600000,59.650000,58.510000,59.620000,2040998
2023-02-09,59.840000,59.991700,58.780000,58.980000,1590365
2023-02-08,59.800000,60.090000,59.441900,59.640000,1851880
2023-02-07,59.300000,60.190000,58.700000,59.950000,2477961
2023-02-06,60.030000,60.280000,59.210000,59.300000,1490882
2023-02-03,59.900000,60.990000,59.830000,60.550000,1639128
2023-02-02,59.740000,60.650000,59.640000,60.570000,2331008
2023-02-01,60.190000,60.350000,58.970000,59.500000,2492863
2023-01-31,59.850000,60.190000,59.365000,60.190000,2587110
2023-01-30,60.480000,60.620000,59.320000,59.650000,2268309
2023-01-27,59.810000,60.670000,59.620000,60.500000,3123656
2023-01-26,57.880000,60.170000,57.490000,60.110000,4697675
2023-01-25,58.950000,58.950000,55.900000,58.300000,8213349
2023-01-24,62.420000,62.508900,61.760000,61.920000,3403219
2023-01-23,61.910000,62.790000,61.530000,62.320000,2227100
2023-01-20,61.000000,62.120000,60.640000,62.060000,2766489
2023-01-19,62.170000,62.520000,60.950000,61.000000,1617112
2023-01-18,63.450000,63.900000,62.710000,62.800000,3289459
2023-01-17,63.150000,63.720000,62.840000,63.370000,2909386
2023-01-13,62.420000,63.667500,62.315000,63.350000,2881994
2023-01-12,63.160000,63.250000,62.180000,62.990000,2557981
2023-01-11,62.730000,63.340000,62.730000,63.020000,2482470
2023-01-10,62.480000,63.080000,62.230000,62.540000,1291174
2023-01-09,61.930000,63.210000,61.760000,62.610000,2466483
2023-01-06,60.900000,61.810000,60.510000,61.650000,1536014
2023-01-05,61.220000,61.370000,60.120000,60.240000,1724365
2023-01-04,62.230000,62.660000,61.365000,61.650000,2093299
2023-01-03,61.530000,61.860000,61.050000,61.760000,1595989
2022-12-30,61.400000,61.560000,60.740000,61.350000,1187344
