Period,Open,High,Low,Close
2023-02-17,4077.730000,4081.510000,4047.950000,4079.094662
2023-02-16,4114.540000,4136.540000,4089.490000,4090.409027
2023-02-15,4119.080000,4148.110000,4103.980000,4147.602929
2023-02-14,4126.540000,4159.770000,4095.010000,4136.133004
2023-02-13,4096.840000,4138.900000,4092.670000,4137.287050
2023-02-10,4069.150000,4094.360000,4060.790000,4090.461965
2023-02-09,4143.810000,4156.230000,4069.670000,4081.504615
2023-02-08,4153.340000,4156.850000,4111.670000,4117.864805
2023-02-07,4104.900000,4176.540000,4088.390000,4163.999551
2023-02-06,4118.890000,4124.630000,4093.380000,4111.080882
2023-02-03,4136.730000,4182.360000,4123.360000,4136.481600
2023-02-02,4158.500000,4195.440000,4141.880000,4179.755591
2023-02-01,4070.200000,4148.950000,4037.200000,4119.210404
2023-01-31,4020.290000,4077.160000,4020.290000,4076.603819
2023-01-30,4049.450000,4063.850000,4015.550000,4017.772570
2023-01-27,4053.810000,4094.210000,4048.700000,4070.558292
2023-01-26,4036.200000,4061.570000,4013.290000,4060.427351
2023-01-25,3982.840000,4019.550000,3949.060000,4016.219241
2023-01-24,4016.080000,4023.920000,3989.790000,4016.949713
2023-01-23,3978.250000,4039.310000,3971.640000,4019.814101
2023-01-20,3909.440000,3972.960000,3897.860000,3972.610453
2023-01-19,3912.050000,3922.940000,3885.540000,3898.854763
2023-01-18,4002.190000,4014.160000,3926.590000,3928.862348
2023-01-17,3999.410000,4015.390000,3984.570000,3990.970135
2023-01-13,3960.320000,4003.950000,3947.670000,3999.090836
2023-01-12,3977.240000,3997.760000,3937.560000,3983.166533
2023-01-11,3932.660000,3970.070000,3928.540000,3969.614106
2023-01-10,3888.550000,3919.830000,3877.290000,3919.253450
2023-01-09,3910.560000,3950.570000,3890.420000,3892.091025
2023-01-06,3827.140000,3906.190000,3809.560000,3895.075568
2023-01-05,3840.090000,3840.090000,3802.420000,3808.102907
2023-01-04,3842.210000,3873.160000,3815.770000,3852.965608
2023-01-03,3854.970000,3878.460000,3794.330000,3824.138180
2022-12-30,3828.850000,3839.850000,3800.340000,3839.496587
2022-12-29,3805.400000,3858.190000,3805.400000,3849.283229
2022-12-28,3829.340000,3848.320000,3780.780000,3783.221915
2022-12-27,3843.220000,3846.650000,3813.220000,3829.249250
2022-12-23,3813.110000,3845.800000,3797.010000,3844.815029
2022-12-22,3853.250000,3853.260000,3764.490000,3822.386685
2022-12-21,3841.160000,3889.820000,3839.490000,3878.439974
2022-12-20,3810.370000,3838.240000,3795.620000,3821.619359
2022-12-19,3853.690000,3854.860000,3800.040000,3817.658159
2022-12-16,3891.560000,3891.560000,3827.910000,3852.363593
2022-12-15,3958.250000,3958.370000,3879.450000,3895.753348
