Period,S&P 500 (^SPX) Level
2019-12-31 00:00:00,3230.78195
2019-12-30 00:00:00,3221.291808
2019-12-27 00:00:00,3240.020358
2019-12-26 00:00:00,3239.907138
2019-12-25 00:00:00,3223.38
2019-12-24 00:00:00,3223.3757
2019-12-23 00:00:00,3224.009886
2019-12-20 00:00:00,3221.224583
2019-12-19 00:00:00,3205.368378
2019-12-18 00:00:00,3191.142044
2019-12-17 00:00:00,3192.51858
2019-12-16 00:00:00,3191.449019
2019-12-13 00:00:00,3168.799633
2019-12-12 00:00:00,3168.569171
2019-12-11 00:00:00,3141.626677
2019-12-10 00:00:00,3132.518607
2019-12-09 00:00:00,3135.961384
2019-12-06 00:00:00,3145.911026
2019-12-05 00:00:00,3117.428588
2019-12-04 00:00:00,3112.756345
2019-12-03 00:00:00,3093.200913
2019-12-02 00:00:00,3113.873631
2019-11-29 00:00:00,3140.980628
2019-11-28 00:00:00,3153.63
2019-11-27 00:00:00,3153.628071
2019-11-26 00:00:00,3140.519864
2019-11-25 00:00:00,3133.642823
2019-11-22 00:00:00,3110.288349
2019-11-21 00:00:00,3103.536912
2019-11-20 00:00:00,3108.45815
2019-11-19 00:00:00,3120.181284
2019-11-18 00:00:00,3122.028007
2019-11-15 00:00:00,3120.460403
2019-11-14 00:00:00,3096.633127
2019-11-13 00:00:00,3094.03534
2019-11-12 00:00:00,3091.839016
2019-11-11 00:00:00,3087.005018
2019-11-08 00:00:00,3093.084803
2019-11-07 00:00:00,3085.181861
2019-11-06 00:00:00,3076.775343
2019-11-05 00:00:00,3074.615917
2019-11-04 00:00:00,3078.26973
2019-11-01 00:00:00,3066.914735
2019-10-31 00:00:00,3037.564435
2019-10-30 00:00:00,3046.7662
2019-10-29 00:00:00,3036.892248
2019-10-28 00:00:00,3039.419922
2019-10-25 00:00:00,3022.549644
2019-10-24 00:00:00,3010.285303
2019-10-23 00:00:00,3004.524331
2019-10-22 00:00:00,2995.992964
2019-10-21 00:00:00,3006.724282
2019-10-18 00:00:00,2986.203484
2019-10-17 00:00:00,2997.952886
2019-10-16 00:00:00,2989.693781
2019-10-15 00:00:00,2995.683133
2019-10-14 00:00:00,2966.150456
2019-10-11 00:00:00,2970.269545
2019-10-10 00:00:00,2938.132355
2019-10-09 00:00:00,2919.400097
2019-10-08 00:00:00,2893.055581
2019-10-07 00:00:00,2938.789393
2019-10-04 00:00:00,2952.007564
2019-10-03 00:00:00,2910.634041
2019-10-02 00:00:00,2887.606504
2019-10-01 00:00:00,2940.248588
2019-09-30 00:00:00,2976.737272
2019-09-27 00:00:00,2961.793116
2019-09-26 00:00:00,2977.617436
2019-09-25 00:00:00,2984.868333
2019-09-24 00:00:00,2966.596004
2019-09-23 00:00:00,2991.779033
2019-09-20 00:00:00,2992.072294
2019-09-19 00:00:00,3006.790782
2019-09-18 00:00:00,3006.729986
2019-09-17 00:00:00,3005.696462
2019-09-16 00:00:00,2997.959591
2019-09-13 00:00:00,3007.387374
2019-09-12 00:00:00,3009.571875
2019-09-11 00:00:00,3000.926355
2019-09-10 00:00:00,2979.385546
2019-09-09 00:00:00,2978.433796
2019-09-06 00:00:00,2978.707811
2019-09-05 00:00:00,2975.997446
2019-09-04 00:00:00,2937.779025
2019-09-03 00:00:00,2906.271106
2019-09-02 00:00:00,2926.46
2019-08-30 00:00:00,2926.458129
2019-08-29 00:00:00,2924.577099
2019-08-28 00:00:00,2887.93879
2019-08-27 00:00:00,2869.156111
2019-08-26 00:00:00,2878.383885
2019-08-23 00:00:00,2847.110984
2019-08-22 00:00:00,2922.952358
2019-08-21 00:00:00,2924.430317
2019-08-20 00:00:00,2900.510268
2019-08-19 00:00:00,2923.648226
