Period,PE Ratio
2023-02-17,31.6110
2023-02-16,31.6110
2023-02-15,31.6110
2023-02-14,31.6110
2023-02-13,31.6110
2023-02-10,31.6110
2023-02-09,31.6110
2023-02-08,31.6110
2023-02-07,31.6110
2023-02-06,31.6110
2023-02-03,32.6656
2023-02-02,32.6656
2023-02-01,32.6656
2023-01-31,32.5012
2023-01-30,32.5012
2023-01-27,32.7465
2023-01-26,32.7465
2023-01-25,32.1472
2023-01-24,32.1472
2023-01-23,32.1472
2023-01-20,31.1103
2023-01-19,31.1103
2023-01-18,31.1103
2023-01-17,31.1103
2023-01-13,31.1103
2023-01-12,31.1103
2023-01-11,31.1103
2023-01-10,31.1103
2023-01-09,31.1103
2023-01-06,31.1103
2023-01-05,31.1103
2023-01-04,31.9651
2023-01-03,31.9651
2022-12-30,31.9651
2022-12-29,31.9651
2022-12-28,31.9651
2022-12-27,31.9651
2022-12-23,31.9651
2022-12-22,31.9651
2022-12-21,31.9651
2022-12-20,31.9651
2022-12-19,31.9651
2022-12-16,31.9651
2022-12-15,31.9651
2022-12-14,31.5605
2022-12-13,31.5605
2022-12-12,31.5605
2022-12-09,31.5605
2022-12-08,31.5605
2022-12-07,31.5605
2022-12-06,31.5605
2022-12-05,31.5605
2022-12-02,31.5605
2022-12-01,31.6616
2022-11-30,31.6616
2022-11-29,31.6616
2022-11-28,31.6616
2022-11-25,31.6616
2022-11-17,30.5995
2022-11-16,30.5995
2022-11-15,30.5995
2022-11-14,25.7946
2022-11-11,25.7946
2022-11-10,25.7946
2022-11-09,25.7946
2022-11-08,25.7946
2022-11-07,25.7946
2022-11-04,25.7946
2022-11-03,25.7946
2022-11-02,25.7946
2022-11-01,25.7946
2022-10-31,25.7946
2022-10-28,25.7946
2022-10-27,25.7946
2022-10-26,25.7946
2022-10-25,25.7946
2022-10-24,25.7946
2022-10-21,25.9160
2022-10-20,24.2267
2022-10-19,24.2267
2022-10-18,24.2267
2022-10-17,24.2267
2022-10-14,24.2267
2022-10-13,24.2267
2022-10-12,26.2599
2022-10-11,26.2599
2022-10-10,26.2599
2022-10-07,26.2599
2022-10-06,26.2599
2022-10-05,26.2599
2022-10-04,25.6328
2022-10-03,25.6328
2022-09-30,25.5316
2022-09-29,26.4620
2022-09-28,26.4620
2022-09-27,26.4620
2022-09-26,26.4620
2022-09-23,26.4620
2022-09-22,27.2536
2022-09-21,27.2536
2022-09-20,27.2536
2022-09-19,27.2536
2022-09-16,27.2536
2022-09-15,27.2536
2022-09-14,27.2536
2022-09-13,27.2536
2022-09-12,26.8604
2022-09-09,26.8604
2022-09-08,26.8604
2022-09-07,26.8604
2022-09-06,26.5354
2022-09-02,27.7621
2022-09-01,27.7621
2022-08-31,28.6532
2022-08-30,28.6532
2022-08-29,28.6532
2022-08-26,28.6532
2022-08-25,28.6532
2022-08-24,28.6532
2022-08-23,28.6532
2022-08-22,28.6532
2022-08-19,28.6532
2022-08-18,28.6532
2022-08-17,28.6532
2022-08-16,28.6532
2022-08-15,28.6532
2022-08-12,28.6532
2022-08-11,28.6532
2022-08-10,28.6532
2022-08-09,28.3072
2022-08-08,28.3072
2022-08-05,28.3072
2022-08-04,28.8943
2022-08-03,28.8943
2022-08-02,28.8943
2022-08-01,28.8943
2022-07-29,28.8943
2022-07-28,28.8943
2022-07-27,28.8943
2022-07-26,28.8943
2022-07-25,27.1540
2022-07-22,27.1540
2022-07-21,27.1540
2022-07-20,27.1540
2022-07-19,27.1540
2022-07-18,27.1540
2022-07-15,27.1540
2022-07-14,27.1540
2022-07-13,27.1540
2022-07-12,27.1540
2022-07-11,27.1540
2022-07-08,28.3544
2022-07-07,28.4016
2022-07-06,28.4016
2022-07-05,27.3112
2022-07-01,24.9418
2022-06-30,24.9418
2022-06-29,17.3620
2022-06-28,17.3620
2022-06-27,16.7855
2022-06-24,16.7855
2022-06-23,16.7855
2022-06-22,16.7855
2022-06-21,16.7855
2022-06-17,16.7855
2022-06-16,17.2744
2022-06-15,17.2744
2022-06-14,18.3034
2022-06-13,19.3252
2022-06-10,19.3252
2022-06-09,19.3252
2022-06-08,19.3252
2022-06-07,19.3252
2022-06-06,19.3252
2022-06-03,20.5804
2022-06-02,20.5804
2022-06-01,20.6388
2022-05-31,20.0258
2022-05-27,20.0258
2022-05-26,20.0258
2022-05-25,20.0258
2022-05-24,20.7775
2022-05-23,20.4527
2022-05-20,20.4527
2022-05-19,20.4527
2022-05-18,20.4527
2022-05-17,20.4527
2022-05-16,19.8871
2022-05-13,19.8871
2022-05-12,19.3836
2022-05-11,18.3983
2022-05-10,18.3983
2022-05-09,19.2376
2022-05-06,19.2376
2022-05-05,19.2376
2022-05-04,19.3398
2022-05-03,19.4200
2022-05-02,19.4200
2022-04-29,19.4200
2022-04-28,16.7855
2022-04-27,16.7855
2022-04-26,16.7855
2022-04-25,16.7855
2022-04-22,16.7855
2022-04-21,17.0336
2022-04-20,18.0261
2022-04-19,18.0261
2022-04-18,18.0261
2022-04-14,18.0261
2022-04-13,18.0261
2022-04-12,18.0261
2022-04-11,18.0261
2022-04-08,18.0261
2022-04-07,18.0261
2022-04-06,18.0261
2022-04-05,18.0261
2022-04-04,18.0261
2022-04-01,18.0261
2022-03-31,18.0261
2022-03-30,16.8965
2022-03-29,16.8965
2022-03-28,16.9992
2022-03-25,16.9992
2022-03-24,16.9992
2022-03-23,16.9992
2022-03-22,16.9992
2022-03-21,16.9992
2022-03-18,16.0346
2022-03-17,16.0346
2022-03-16,16.0346
2022-03-15,15.8294
2022-03-14,15.8294
2022-03-11,15.8294
2022-03-10,15.8294
2022-03-09,15.8294
2022-03-08,15.8294
2022-03-07,15.8294
2022-03-04,15.8294
2022-03-03,15.8294
2022-03-02,15.8294
2022-03-01,15.8294
2022-02-28,15.8294
2022-02-25,15.8294
2022-02-24,15.8294
2022-02-23,15.9560
2022-02-22,15.7542
2022-02-18,16.7597
2022-02-17,16.7597
2022-02-16,16.9513
2022-02-15,16.9513
2022-02-14,16.6469
2022-02-11,16.6469
2022-02-10,16.8897
2022-02-09,16.8623
2022-02-08,17.1907
2022-02-07,17.1907
