Period,Return on Assets
2022-09-30,14.0837
2022-06-30,13.2611
2022-03-31,18.9074
2021-12-31,20.7093
2021-09-30,21.6092
2021-06-30,22.9800
2021-03-31,17.4408
2020-12-31,14.8597
2020-09-30,14.0456
2020-06-30,13.9136
2020-03-31,12.3377
2019-12-31,13.3717
2019-09-30,12.8215
2019-06-30,11.7554
2019-03-31,10.3482
2018-12-31,13.3159
2018-09-30,12.1900
2018-06-30,12.5045
2018-03-31,9.5786
2017-12-31,9.3166
2017-09-30,10.5137
2017-06-30,9.5153
2017-03-31,7.7224
2016-12-31,3.2393
2016-09-30,5.3109
2016-06-30,3.9767
2016-03-31,7.0453
2015-12-31,6.6719
2015-09-30,5.5520
2015-06-30,7.6886
2015-03-31,6.9442
2014-12-31,4.0098
2014-09-30,1.5321
2014-06-30,3.6292
2014-03-31,3.5583
2013-12-31,1.8925
2013-09-30,3.5606
2013-06-30,2.9995
2013-03-31,3.5599
2012-12-31,10.3346
2012-09-30,10.5179
2012-06-30,8.5787
2012-03-31,7.5936
2011-12-31,4.7440
2011-09-30,7.6653
2011-06-30,8.9653
2011-03-31,9.0118
2010-12-31,8.6650
2010-09-30,0.8632
2010-06-30,0.0880
2010-03-31,1.5070
2009-12-31,6.9840
2009-09-30,5.9933
