Period,PE Ratio
2023-02-17,30.1887
2023-02-16,30.1132
2023-02-15,30.5499
2023-02-14,30.2561
2023-02-13,30.5121
2023-02-10,30.1348
2023-02-09,30.1321
2023-02-08,30.3774
2023-02-07,30.7763
2023-02-06,30.2399
2023-02-03,30.7062
2023-02-02,31.2642
2023-02-01,31.4717
2023-01-31,34.6846
2023-01-30,34.7682
2023-01-27,34.7358
2023-01-26,34.8086
2023-01-25,34.3827
2023-01-24,34.3639
2023-01-23,34.3423
2023-01-20,33.9596
2023-01-19,33.3477
2023-01-18,33.3450
2023-01-17,33.3423
2023-01-13,33.8167
2023-01-12,34.0755
2023-01-11,33.9919
2023-01-10,33.4286
2023-01-09,33.4690
2023-01-06,33.3935
2023-01-05,33.6065
2023-01-04,33.6954
2023-01-03,33.0997
2022-12-31,32.9326
2022-12-30,38.0623
2022-12-29,38.0654
2022-12-28,37.2399
2022-12-27,37.6386
2022-12-23,37.8536
2022-12-22,37.8255
2022-12-21,38.1620
2022-12-20,37.5140
2022-12-19,37.6293
2022-12-16,37.9252
2022-12-15,37.9221
2022-12-14,38.8349
2022-12-13,39.1526
2022-12-12,39.1277
2022-12-09,38.8505
2022-12-08,39.2866
2022-12-07,39.2555
2022-12-06,39.6916
2022-12-05,40.6293
2022-12-02,41.2087
2022-12-01,41.0031
2022-11-30,40.7414
2022-11-29,39.7477
2022-11-28,39.9844
2022-11-25,40.3427
2022-11-23,40.7975
2022-11-22,40.3489
2022-11-21,39.8318
2022-11-18,40.5234
2022-11-17,40.0779
2022-11-16,40.2928
2022-11-15,40.1184
2022-11-14,40.3614
2022-11-11,40.8816
2022-11-10,40.5919
2022-11-09,39.3427
2022-11-08,40.2181
2022-11-07,41.2523
2022-11-04,40.4237
2022-11-03,39.4455
2022-11-02,40.0810
2022-11-01,39.3364
2022-10-31,39.2399
2022-10-28,39.9502
2022-10-27,39.7819
2022-10-26,39.6417
2022-10-25,39.7944
2022-10-24,39.1495
2022-10-21,38.9377
2022-10-20,38.4891
2022-10-19,38.5794
2022-10-18,38.4330
2022-10-17,37.7041
2022-10-14,37.4984
2022-10-13,37.7632
2022-10-12,37.0343
2022-10-11,37.1495
2022-10-10,37.5950
2022-10-07,38.1028
2022-10-06,38.5234
2022-10-05,38.2150
2022-10-04,38.3801
2022-10-03,37.3396
2022-09-30,36.0467
2022-09-29,37.1741
2022-09-28,37.4525
2022-09-27,36.4367
2022-09-26,36.3354
2022-09-23,36.5949
2022-09-22,37.1582
2022-09-21,37.1804
2022-09-20,38.1456
2022-09-19,38.9019
2022-09-16,38.5253
2022-09-15,39.3703
2022-09-14,40.1646
2022-09-13,40.3766
2022-09-12,41.4082
2022-09-09,40.8006
2022-09-08,40.2342
2022-09-07,39.7310
2022-09-06,39.4715
2022-09-02,39.6614
2022-09-01,40.4051
2022-08-31,40.1487
2022-08-30,40.0222
2022-08-29,41.0127
2022-08-26,41.8259
2022-08-25,40.3829
2022-08-24,39.7500
2022-08-23,40.1044
2022-08-22,40.5443
2022-08-19,41.2911
2022-08-18,41.9209
2022-08-17,42.1424
2022-08-16,42.7563
2022-08-15,41.6456
2022-08-12,41.5728
2022-08-11,41.0380
2022-08-10,41.5063
2022-08-09,40.9114
2022-08-08,41.4715
2022-08-05,41.9494
2022-08-04,42.1646
2022-08-03,42.1772
2022-08-02,40.7880
2022-08-01,41.4146
2022-07-29,41.5285
2022-07-28,42.1456
2022-07-27,41.8291
2022-07-26,41.3766
2022-07-25,41.1139
2022-07-22,41.1899
2022-07-21,41.2057
2022-07-20,40.3766
