Period,Return on Assets
2022-12-31,7.6996
2022-09-30,6.7219
2022-06-30,6.7192
2022-03-31,5.9083
2021-12-31,4.8936
2021-09-30,6.2370
2021-06-30,5.5232
2021-03-31,7.0249
2020-12-31,10.2616
2020-09-30,11.8123
2020-06-30,18.3955
2020-03-31,29.4637
2019-12-31,28.6919
2019-09-30,29.4597
2019-06-30,24.2544
2019-03-31,11.8227
2018-12-31,16.5615
2018-09-30,11.5784
2018-06-30,8.4866
2018-03-31,12.9594
2017-12-31,12.7235
2017-09-30,15.7737
2017-06-30,16.1255
2017-03-31,13.4365
2016-12-31,18.7126
2016-09-30,19.0205
2016-06-30,18.1184
2016-03-31,18.4147
2015-12-31,10.6868
2015-09-30,13.9526
2015-06-30,16.6204
2015-03-31,14.8119
2014-12-31,14.6221
2014-09-30,7.1321
2014-06-30,2.2911
2014-03-31,0.1538
2013-12-31,-0.7108
2013-09-30,4.5507
2013-06-30,2.4060
2013-03-31,1.9129
2012-12-31,3.3343
2012-09-30,0.2816
2012-06-30,1.0852
2012-03-31,1.4669
2011-12-31,-3.4406
2011-09-30,-6.0571
2011-06-30,-3.3188
2011-03-31,-5.9896
2010-12-31,-8.6113
2010-09-30,-3.3653
2010-06-30,-7.3661
2010-03-31,-14.1118
2009-12-31,-15.2577
2009-09-30,-25.5788
2009-06-30,-23.2916
2009-03-31,-19.6553
2008-12-31,-19.3418
2008-09-30,-8.9214
2008-06-30,-7.2165
2008-03-31,-8.0333
2007-12-31,-7.0827
2007-09-30,-3.8027
2007-06-30,0.5226
2007-03-31,1.6324
2006-12-31,1.8919
2006-09-30,4.3447
2006-06-30,5.1744
2006-03-31,5.6843
2005-12-31,6.2232
2005-09-30,9.2910
2005-06-30,10.6393
2005-03-31,13.0145
2004-12-31,16.0071
2004-09-30,18.2970
2004-06-30,19.2516
2004-03-31,20.4209
2003-12-31,18.9107
2003-09-30,15.2285
2003-06-30,15.3395
2003-03-31,15.7847
2002-12-31,18.9380
2002-09-30,14.4476
2002-06-30,10.0740
2002-03-31,6.8990
2001-12-31,2.5973
2001-09-30,-0.6220
2001-06-30,-1.1421
2001-03-31,-0.9143
2000-12-31,0.8741
2000-09-30,1.3720
2000-06-30,6.8394
2000-03-31,11.3533
1999-12-31,13.8357
1999-09-30,12.7999
1999-06-30,8.5327
1999-03-31,8.9512
1998-12-31,8.4022
1998-09-30,7.2494
1998-06-30,None
1998-03-31,None
1997-12-31,None
1997-09-30,None
1997-06-30,9.9449
1997-03-31,10.6199
1996-12-31,11.0557
1996-09-30,10.4529
1996-06-30,10.3355
1996-03-31,10.8801
1995-12-31,13.0464
1995-09-30,12.4250
1995-06-30,14.2402
1995-03-31,18.3393
1994-12-31,18.8115
1994-09-30,18.7672
1994-06-30,21.1437
1994-03-31,20.6233
1993-12-31,21.7077
1993-09-30,21.1103
1993-06-30,21.9074
1993-03-31,22.1116
1992-12-31,22.4109
1992-09-30,20.7960
1992-06-30,21.3408
1992-03-31,20.4844
1991-12-31,19.0490
1991-09-30,16.5146
1991-06-30,16.2393
1991-03-31,16.4795
1990-12-31,16.0542
1990-09-30,14.4603
1990-06-30,13.9087
