Period,Return on Assets
2020-12-31,10.2616
2020-09-30,11.8123
2020-06-30,18.3955
2020-03-31,29.4637
2019-12-31,28.6919
2019-09-30,29.4597
2019-06-30,24.2544
2019-03-31,11.8227
2018-12-31,16.5615
2018-09-30,11.5784
2018-06-30,8.4866
2018-03-31,12.9594
2017-12-31,12.7235
2017-09-30,15.7737
2017-06-30,16.1255
2017-03-31,13.4365
2016-12-31,18.7126
2016-09-30,19.0205
2016-06-30,18.1184
2016-03-31,18.4147
2015-12-31,10.6868
2015-09-30,13.9526
2015-06-30,16.6204
2015-03-31,14.8119
2014-12-31,14.6221
2014-09-30,7.1321
2014-06-30,2.2911
2014-03-31,0.1538
2013-12-31,-0.7108
2013-09-30,4.5507
2013-06-30,2.4060
2013-03-31,1.9129
2012-12-31,3.3343
2012-09-30,0.2816
2012-06-30,1.0852
2012-03-31,1.4669
2011-12-31,-3.4406
2011-09-30,-6.0571
2011-06-30,-3.3188
2011-03-31,-5.9896
2010-12-31,-8.6113
2010-09-30,-3.3653
2010-06-30,-7.3661
2010-03-31,-14.1118
