title,author,date,lure,link
Dead by Daylight’s latest killer is a tech executive with a surveillance penchant,Igor Bonifacic,5 hours ago,"The Skull Merchant is a wealthy tech executive who, when she’s not eliminating competition like any... ",https://search.engadget.com/click/_ylt=AwrEaYpqjO1j5LgTB1B8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541162/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fdead-by-daylights-latest-killer-is-a-tech-executive-with-a-surveillance-penchant-210038034.html/RK=2/RS=jaZVDTngmOKDorZh0MhNPCQs170-
Link rides a huge hoverboard in the new Zelda 'Tears of the Kingdom' trailer,Jessica Conditt,02.08.2023,Nintendo closed out today's Direct showcase with a new trailer for The Legend of Zelda: Tears of the... ,https://search.engadget.com/click/_ylt=AwrEaYpqjO1j5LgTCVB8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541162/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fzelda-tears-kingdom-gameplay-trailer-hover-chariot-balloon-231733824.html/RK=2/RS=eBmw2nDJoXZ2lmlurgdMY2aGns4-
'Metroid Prime Remastered' is out today on Switch with dual-stick controls,Jon Fingas,02.08.2023,Here's a pleasant treat from today's Nintendo Direct: the surprise launch of a revamp of the... ,https://search.engadget.com/click/_ylt=AwrEaYpqjO1j5LgTC1B8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541162/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fmetroid-prime-remastered-switch-230628691.html/RK=2/RS=Y8ixGauUvqtu7XUsrbk1yKiJ0YE-
'Advance Wars 1+2 Re-Boot Camp' will finally arrive on April 21st,Igor Bonifacic,02.08.2023,"Multiple delays and more than a year after it was first supposed to arrive, Advance Wars 1+2 Re-Boot... ",https://search.engadget.com/click/_ylt=AwrEaYpqjO1j5LgTDVB8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541162/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fadvance-wars-12-re-boot-camp-april-21-release-date-230243330.html/RK=2/RS=00R6pQIDI6d.6tGPrwQCg_2DaYw-
Nintendo is adding Game Boy and Game Boy Advance games to Switch Online today,Kris Holt,02.08.2023,"After years of rumors, Nintendo is finally bringing Game Boy and Game Boy Advance titles to its... ",https://search.engadget.com/click/_ylt=AwrEaYpqjO1j5LgTD1B8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541162/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fnintendo-switch-online-game-boy-tetris-mario-zelda-224822629.html/RK=2/RS=Cf1kF8UnPHb8ZfK5PaOuERyRXNs-
'Pikmin 4' hits Switch on July 21st,Jessica Conditt,02.08.2023,"After nearly a decade in development, Pikmin 4 is due to land on the Switch on July 21st, 2023.... ",https://search.engadget.com/click/_ylt=AwrEaYpqjO1j5LgTEVB8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541162/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fpikmin-4-july-2023-release-date-223410555.html/RK=2/RS=TlPdERAu3c451qX7H4Mw5JkbmZc-
Watch the first Nintendo Direct of 2023 here at 5PM ET,Kris Holt,02.08.2023,"Get ready, Nintendo fans: it’s almost time for the company’s first Direct of 2023. The showcase will... ",https://search.engadget.com/click/_ylt=AwrEaYpqjO1j5LgTE1B8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541162/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fhow-to-watch-nintendo-direct-february-2023-zelda-bayonetta-210043495.html/RK=2/RS=ap1x0mHsd4YRQj1Brm1R0rtctBY-
Bayonetta Origins hands-on: A charming tale of a witch and her demon cat,Sam Rutherford,02.07.2023,"In a departure from previous games, Bayonetta Origins: Cereza and the Lost Demon is a charming... ",https://search.engadget.com/click/_ylt=AwrEaYpqjO1j5LgTFVB8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541162/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fbayonetta-origins-cereza-and-the-lost-demon-hands-on-a-charming-tale-of-a-witch-and-her-demon-cat-150039480.html/RK=2/RS=5IJu5wtot_7Wr1I42Xrk4yWPhQg-
The next Nintendo Direct will take place on February 8th,Kris Holt,02.07.2023,Nintendo has scheduled its first Direct of the year. It will largely focus on games that are coming... ,https://search.engadget.com/click/_ylt=AwrEaYpqjO1j5LgTF1B8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541162/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fnintendo-direct-stream-date-switch-games-144620838.html/RK=2/RS=iKZbjjo3.BDJcXapeICNbrkrwYM-
"The Switch has outsold the PS4, but Nintendo sees tougher times ahead",Steve Dent,02.07.2023,The Switch just leaped over both the Game Boy and PlayStation 4 to become the third best-selling... ,https://search.engadget.com/click/_ylt=AwrEaYpqjO1j5LgTGVB8BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541162/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fthe-switch-has-outsold-the-playstation-4-but-nintendo-sees-tougher-times-ahead-100631336.html/RK=2/RS=ay1gxITbROJSpy8VRyBm5pCPdUY-
The best Valentine's Day gifts for gamers,Kris Naudus,02.06.2023,"I’ve never been a fan of Valentine’s Day. Or rather, I’m not a fan of the traditional gifts given on... ",https://search.engadget.com/click/_ylt=AwrFSH5rjO1jl3oTnj58BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541163/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fbest-valentines-day-gifts-for-gamers-140026688.html/RK=2/RS=y9hPrJkR3Qa1I9qMfF.BV2IRwaE-
Nintendo classic 'Zelda: A Link to the Past' gets an unofficial PC port,Steve Dent,02.06.2023,"The latest game to get the reverse-engineering treatment is The Legend of Zelda: A Link to the Past,... ",https://search.engadget.com/click/_ylt=AwrFSH5rjO1jl3oToD58BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541163/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fsomeone-reverse-engineered-the-legend-of-zelda-a-link-to-the-past-for-pc-115542772.html/RK=2/RS=lchioY6wY.leHyKvYVh5BRckmpE-
Nintendo brings back discounted game vouchers for Switch Online subscribers,Jon Fingas,02.01.2023,Don't worry if you missed out on Nintendo's bargain game vouchers from 2019 — they're back. The... ,https://search.engadget.com/click/_ylt=AwrFSH5rjO1jl3oToj58BWVH;_ylu=Y29sbwNiZjEEcG9zAzEEdnRpZAMEc2VjA3Nj/RV=2/RE=1676541163/RO=10/RU=https%3a%2f%2fwww.engadget.com%2fnintendo-switch-game-vouchers-212518285.html/RK=2/RS=4Elk3mHebWKuDv7YjgwEkTxBYYQ-
