Period,PE Ratio
2020-12-31,18.7976
2020-12-30,20.0242
2020-12-29,19.9913
2020-12-28,20.2420
2020-12-24,19.6783
2020-12-23,19.4900
2020-12-22,19.4195
2020-12-21,19.9067
2020-12-18,20.3354
2020-12-17,20.6494
2020-12-16,19.1779
2020-12-15,18.6903
2020-12-14,18.8035
2020-12-11,18.2761
2020-12-10,17.9284
2020-12-09,17.6272
2020-12-08,17.7002
2020-12-07,17.3687
2020-12-04,17.2399
2020-12-03,17.0204
2020-12-02,17.1086
2020-12-01,17.3906
2020-11-30,17.8606
2020-11-27,17.7444
2020-11-25,16.7344
2020-11-24,16.4803
2020-11-23,16.7435
2020-11-20,16.6686
2020-11-19,16.8225
2020-11-18,16.0749
2020-11-17,16.0288
2020-11-16,16.0980
2020-11-13,16.5132
2020-11-12,16.1176
2020-11-11,15.8966
2020-11-10,16.2040
2020-11-09,16.7247
2020-11-06,17.7779
2020-11-05,18.2379
2020-11-04,17.3279
2020-11-03,17.3906
2020-11-02,17.2339
2020-10-30,17.0146
2020-10-29,17.3656
2020-10-28,17.0519
2020-10-27,17.1869
2020-10-26,16.5389
2020-10-23,16.5446
2020-10-22,16.7944
2020-10-21,16.8579
2020-10-20,17.1145
2020-10-19,17.2342
2020-10-16,17.3279
2020-10-15,17.3593
2020-10-14,17.6099
2020-10-13,17.7039
2020-10-12,17.6063
2020-10-09,17.3122
2020-10-08,17.1716
2020-10-07,17.2652
2020-10-06,17.0381
2020-10-05,16.9519
2020-10-02,17.4705
2020-10-01,17.8841
2020-09-30,17.8919
2020-09-29,21.1409
2020-09-28,20.8788
2020-09-25,20.7155
2020-09-24,20.9751
2020-09-23,20.9737
2020-09-22,21.0854
2020-09-21,21.2123
2020-09-18,21.3432
2020-09-17,20.9596
2020-09-16,21.2603
2020-09-15,21.1224
2020-09-14,20.8963
2020-09-11,20.6992
2020-09-10,20.4933
2020-09-09,20.5823
2020-09-08,19.7907
2020-09-04,20.9596
2020-09-03,20.5379
2020-09-02,20.7229
2020-09-01,20.8773
2020-08-31,19.7167
2020-08-28,19.8276
2020-08-27,20.0267
2020-08-26,20.2346
2020-08-25,19.6057
2020-08-24,19.9638
2020-08-21,19.0098
2020-08-20,18.6809
2020-08-19,18.6813
2020-08-18,18.6624
2020-08-17,18.0039
2020-08-14,17.7561
2020-08-13,17.9041
