Date,Open Price,High Price,Low Price,Close Price,Volume
2023-02-17,40.604000,40.974000,40.380000,40.974000,209
2023-02-16,40.550000,41.000000,40.340000,40.700000,1734
2023-02-15,40.180000,40.340000,39.840000,40.340000,413
2023-02-14,40.550000,40.550000,39.540000,40.520000,4146
2023-02-13,39.570000,40.000000,39.400000,39.905000,40762
2023-02-10,40.850000,40.850000,40.365000,40.550000,15360
2023-02-09,40.990000,40.990000,39.975000,40.600000,52222
2023-02-08,40.750000,40.750000,39.220000,40.410000,2181
2023-02-07,42.000000,42.000000,40.500000,41.390000,4583
2023-02-06,42.800000,42.800000,42.010000,42.400000,873
2023-02-03,43.590000,43.590000,43.150000,43.590000,917
2023-02-02,43.990000,43.990000,43.270100,43.940000,752
2023-02-01,43.360000,43.689900,42.670000,43.345000,7597
2023-01-31,43.530000,43.630000,43.080000,43.630000,995
2023-01-30,43.050000,43.400000,42.700000,43.080000,1386
2023-01-27,43.690000,43.690000,43.080000,43.080000,1238
2023-01-26,43.332000,43.584000,43.070000,43.295000,6774
2023-01-25,43.012000,43.250000,42.400100,42.575000,1704
2023-01-24,42.650000,42.870000,42.260000,42.260000,342
2023-01-23,42.080000,42.980000,42.080000,42.980000,40331
2023-01-20,42.890000,43.140000,42.210000,43.140000,25295
2023-01-19,43.370000,43.370000,42.731000,43.300000,8292
2023-01-18,43.290000,43.990000,43.199000,43.510000,6819
2023-01-17,43.000000,43.450000,42.658000,43.450000,47101
2023-01-13,41.400000,42.210000,41.400000,42.100000,45196
2023-01-12,42.070000,42.110000,41.645000,41.755000,87497
2023-01-11,43.000000,43.000000,40.530000,40.530000,15649
2023-01-10,40.080000,42.300000,40.080000,41.660000,131936
2023-01-09,43.000000,43.000000,40.640000,43.000000,3544
2023-01-06,42.300000,42.300000,40.530000,42.249900,1214
2023-01-05,42.510000,42.510000,40.000000,40.000000,1085
2023-01-04,43.000000,43.000000,41.710000,42.800000,269
2023-01-03,43.470000,43.470000,40.880000,42.415000,598
2022-12-30,42.974600,42.974600,40.500000,42.000000,120
2022-12-29,40.960000,43.000000,40.960000,42.790000,7
2022-12-28,41.150000,42.550000,40.710000,42.550000,3386
2022-12-27,43.000000,43.000000,41.285000,41.285000,28
2022-12-23,43.000000,43.000000,41.060000,41.800000,15319
2022-12-22,42.500000,42.970000,41.345000,41.885000,208
2022-12-21,42.000000,43.000000,40.893000,41.875000,99
2022-12-20,40.480000,41.896000,40.480000,41.365000,332
2022-12-19,42.280000,42.280000,39.780000,40.770000,5638
2022-12-16,41.280000,42.210000,40.000000,40.520000,1369
2022-12-15,41.180000,42.060000,41.180000,42.060000,15512
2022-12-14,43.780000,43.780000,41.180000,41.180000,3643
2022-12-13,41.290000,43.800000,41.290000,41.790000,302
2022-12-12,42.830000,42.830000,40.300000,41.320000,4561
2022-12-09,41.550000,41.965500,41.550000,41.965500,220
2022-12-08,42.920000,42.963000,41.720000,41.720000,5363
2022-12-07,43.530000,43.530000,41.748000,43.320000,32011
2022-12-06,41.550000,42.000000,41.550000,41.960000,31
2022-12-05,42.000000,43.120000,41.590000,41.800000,2629
2022-12-02,44.270000,44.540000,42.050000,42.050000,2395
2022-12-01,43.662000,43.662000,41.790000,42.600000,289
2022-11-30,42.500000,43.620000,42.010000,42.400000,3424
2022-11-29,43.570000,43.570000,40.970000,42.720000,5551
2022-11-28,41.850000,43.960000,41.460000,43.400000,215
2022-11-25,43.827000,43.827000,41.968000,43.500000,1554
2022-11-23,43.740000,43.740000,41.427000,41.940000,1304
2022-11-22,43.340000,43.340000,40.770000,42.597000,5507
2022-11-21,42.500000,42.500000,42.000000,42.115000,147
2022-11-18,41.180000,42.966500,41.180000,42.500000,1547
2022-11-17,41.000000,42.080000,40.450000,42.000000,1249
