Period,PE Ratio
2023-02-17,15.3908
2023-02-16,15.8395
2023-02-15,15.9988
2023-02-14,16.1652
2023-02-13,16.2195
2023-02-10,16.3064
2023-02-09,16.3064
2023-02-08,16.3607
2023-02-07,16.5325
2023-02-06,16.3064
2023-02-03,16.8510
2023-02-02,16.9722
2023-02-01,16.2032
2023-01-31,16.1869
2023-01-30,16.1634
2023-01-27,16.3950
2023-01-26,16.1272
2023-01-25,16.2032
2023-01-24,16.1598
2023-01-23,16.0874
2023-01-20,16.1562
2023-01-19,15.9173
2023-01-18,15.6839
2023-01-17,15.6984
2023-01-13,15.5157
2023-01-12,15.5736
2023-01-11,15.2515
2023-01-10,14.8516
2023-01-09,14.9493
2023-01-06,14.7268
2023-01-05,14.0229
2023-01-04,14.0772
2023-01-03,13.8691
2022-12-31,13.8022
2022-12-30,12.5285
2022-12-29,12.5959
2022-12-28,12.2937
2022-12-27,12.4070
2022-12-23,12.6369
2022-12-22,12.6090
2022-12-21,12.7158
2022-12-20,12.7289
2022-12-19,12.7601
2022-12-16,12.8718
2022-12-15,12.9211
2022-12-14,13.3415
2022-12-13,13.3021
2022-12-12,13.1691
2022-12-09,13.2019
2022-12-08,13.0065
2022-12-07,12.9818
2022-12-06,13.0525
2022-12-05,13.4040
2022-12-02,13.5978
2022-12-01,13.7866
2022-11-30,13.6437
2022-11-29,13.5058
2022-11-28,13.4959
2022-11-25,13.6142
2022-11-23,13.5009
2022-11-22,13.3432
2022-11-21,12.9901
2022-11-18,13.2036
2022-11-17,13.2758
2022-11-16,13.3268
2022-11-15,13.5797
2022-11-14,13.5370
2022-11-11,13.6470
2022-11-10,13.2216
2022-11-09,12.3971
2022-11-08,12.6156
2022-11-07,12.4004
2022-11-04,12.2510
2022-11-03,11.8469
2022-11-02,11.7221
2022-11-01,12.1557
2022-10-31,11.0815
2022-10-28,11.1440
2022-10-27,10.9814
2022-10-26,11.0569
2022-10-25,11.0438
2022-10-24,10.6989
2022-10-21,10.6824
2022-10-20,10.6315
2022-10-19,10.6151
2022-10-18,10.7202
2022-10-17,10.8549
2022-10-14,10.5494
2022-10-13,10.7038
2022-10-12,10.3753
2022-10-11,10.5395
2022-10-10,10.7777
2022-10-07,10.9074
2022-10-06,11.0717
2022-10-05,11.1045
2022-10-04,11.2080
2022-10-03,10.8664
2022-09-30,10.5198
2022-09-29,10.6696
2022-09-28,10.9844
2022-09-27,10.8041
2022-09-26,10.9369
2022-09-23,11.2206
2022-09-22,11.3763
2022-09-21,11.4632
2022-09-20,11.6698
2022-09-19,11.8846
2022-09-16,11.7863
2022-09-15,11.7830
2022-09-14,11.8125
2022-09-13,11.8076
2022-09-12,12.3995
2022-09-09,12.3602
2022-09-08,12.1650
2022-09-07,12.2159
2022-09-06,12.3585
2022-09-02,12.6635
2022-09-01,12.9341
2022-08-31,13.0111
2022-08-30,13.2390
2022-08-29,13.3374
2022-08-26,13.3981
2022-08-25,13.9802
2022-08-24,13.7998
2022-08-23,13.7769
2022-08-22,13.9753
2022-08-19,14.2212
2022-08-18,14.2458
2022-08-17,14.2917
2022-08-16,14.1196
2022-08-15,14.2524
2022-08-12,14.2327
2022-08-11,14.0720
2022-08-10,13.9917
2022-08-09,13.6949
2022-08-08,13.9097
2022-08-05,14.1540
2022-08-04,14.0933
2022-08-03,14.2885
2022-08-02,13.9851
2022-08-01,14.1147
2022-07-29,14.0015
2022-07-28,14.3573
2022-07-27,14.2098
2022-07-26,13.9818
2022-07-25,14.0179
2022-07-22,14.2589
2022-07-21,14.3081
2022-07-20,14.1081
2022-07-19,13.9408
2022-07-18,13.4801
2022-07-15,13.4702
2022-07-14,13.2981
2022-07-13,13.3669
2022-07-12,13.4538
2022-07-11,13.4440
2022-07-08,13.5408
2022-07-07,13.6932
2022-07-06,13.1718
2022-07-05,13.2735
2022-07-01,13.3932
2022-06-30,13.4079
2022-06-29,13.2557
2022-06-28,13.2207
2022-06-27,13.4209
2022-06-24,13.6100
2022-06-23,13.3097
2022-06-22,13.3097
2022-06-21,13.4845
2022-06-17,13.3494
2022-06-16,12.9775
2022-06-15,13.4035
2022-06-14,13.1905
2022-06-13,13.3383
2022-06-10,13.9946
2022-06-09,14.2283
2022-06-08,14.6621
2022-06-07,14.7225
2022-06-06,14.6685
2022-06-03,14.7225
2022-06-02,14.9132
2022-06-01,14.9482
2022-05-31,14.9498
2022-05-27,14.6621
2022-05-26,14.3888
2022-05-25,14.0312
2022-05-24,14.1488
2022-05-23,14.2664
2022-05-20,14.2934
2022-05-19,14.0979
2022-05-18,13.8373
2022-05-17,13.9358
2022-05-16,13.7245
2022-05-13,13.8278
2022-05-12,13.3335
2022-05-11,12.7233
2022-05-10,13.0316
2022-05-09,12.8472
2022-05-06,13.2954
2022-05-05,13.4972
2022-05-04,14.0677
2022-05-03,13.7197
2022-05-02,13.6832
2022-04-29,13.6752
2022-04-28,13.8739
2022-04-27,13.5799
2022-04-26,13.3876
2022-04-25,13.9184
2022-04-22,13.6037
2022-04-21,14.0089
2022-04-20,14.1551
2022-04-19,14.1949
2022-04-18,14.0614
2022-04-14,14.1663
2022-04-13,14.5874
2022-04-12,14.4349
2022-04-11,14.7527
2022-04-08,15.6172
2022-04-07,15.6061
2022-04-06,15.7920
2022-04-05,16.0670
2022-04-04,16.6931
2022-04-01,16.3562
2022-03-31,16.3228
2022-03-30,17.4660
2022-03-29,17.5673
2022-03-28,17.4394
2022-03-25,17.6486
2022-03-24,17.8279
2022-03-23,17.2933
2022-03-22,17.5556
2022-03-21,17.3431
2022-03-18,17.6204
2022-03-17,17.3713
2022-03-16,17.0608
2022-03-15,16.2887
2022-03-14,15.7391
2022-03-11,16.1576
2022-03-10,16.6341
2022-03-09,16.3286
2022-03-08,16.1758
2022-03-07,15.9102
2022-03-04,16.3502
2022-03-03,16.6424
2022-03-02,16.8931
2022-03-01,16.7470
2022-02-28,17.0243
2022-02-25,17.2833
2022-02-24,16.9346
2022-02-23,16.8217
2022-02-22,17.0492
2022-02-18,17.3066
2022-02-17,17.4029
2022-02-16,17.6868
2022-02-15,18.0089
2022-02-14,17.7848
2022-02-11,17.8977
2022-02-10,18.2497
2022-02-09,18.5071
2022-02-08,18.2264
2022-02-07,18.2231
2022-02-04,18.1185
2022-02-03,17.9375
2022-02-02,18.6382
2022-02-01,18.6897
2022-01-31,18.5403
2022-01-28,17.7399
2022-01-27,17.0974
2022-01-26,18.2696
2022-01-25,18.2514
2022-01-24,18.3543
2022-01-21,18.5353
2022-01-20,18.8674
2022-01-19,18.2713
2022-01-18,19.2343
2022-01-14,20.7204
2022-01-13,20.7221
2022-01-12,21.1123
2022-01-11,20.9744
2022-01-10,20.4514
2022-01-07,20.6407
2022-01-06,20.4414
2022-01-05,21.3514
2022-01-04,21.3464
2022-01-03,20.9661
2021-12-31,20.9877
2021-12-30,21.0983
2021-12-29,21.2273
2021-12-28,21.3597
2021-12-27,21.3144
2021-12-23,20.7531
2021-12-22,20.6258
2021-12-21,20.1985
2021-12-20,19.9304
2021-12-17,20.2957
2021-12-16,20.4766
2021-12-15,20.7514
2021-12-14,20.2086
2021-12-13,20.2052
2021-12-10,20.6526
2021-12-09,20.5839
2021-12-08,21.1016
2021-12-07,20.9039
2021-12-06,20.2739
2021-12-03,20.1097
2021-12-02,20.1332
2021-12-01,20.0008
2021-11-30,20.4163
2021-11-29,20.3476
2021-11-26,20.3191
2021-11-24,20.4783
2021-11-23,20.4046
2021-11-22,20.5085
2021-11-19,20.9843
2021-11-18,20.9709
2021-11-17,20.8151
2021-11-16,20.9575
2021-11-15,20.6006
2021-11-12,20.5923
2021-11-11,20.2739
2021-11-10,20.3493
2021-11-09,20.5202
2021-11-08,20.6677
2021-11-05,20.6459
2021-11-04,20.5504
2021-11-03,20.6325
2021-11-02,20.6626
2021-11-01,20.3141
2021-10-29,19.4010
2021-10-28,19.8198
2021-10-27,18.9720
2021-10-26,19.5249
2021-10-25,19.3189
2021-10-22,18.9285
2021-10-21,18.8112
2021-10-20,18.8430
2021-10-19,18.8480
2021-10-18,18.7911
2021-10-15,18.8497
2021-10-14,18.7039
2021-10-13,18.3471
2021-10-12,18.2549
2021-10-11,18.2884
2021-10-08,18.0103
2021-10-07,17.7740
2021-10-06,17.6869
2021-10-05,17.8796
2021-10-04,17.9231
2021-10-01,18.3487
2021-09-30,18.5280
2021-09-29,14.1468
2021-09-28,14.4019
2021-09-27,14.7547
2021-09-24,14.9247
2021-09-23,14.6570
2021-09-22,14.5440
2021-09-21,14.2649
2021-09-20,13.7763
2021-09-17,14.0479
2021-09-16,14.2496
2021-09-15,14.1735
2021-09-14,14.1215
2021-09-13,14.0999
2021-09-10,13.9996
2021-09-09,13.9527
2021-09-08,13.6849
2021-09-07,13.7509
2021-09-03,13.7370
2021-09-02,13.3778
2021-09-01,13.2966
2021-08-31,13.1291
2021-08-30,13.0022
2021-08-27,13.1025
2021-08-26,12.8994
2021-08-25,13.3689
2021-08-24,13.2116
2021-08-23,12.8575
2021-08-20,12.3905
2021-08-19,12.2598
2021-08-18,12.4756
2021-08-17,12.4971
2021-08-16,12.7218
2021-08-13,12.9362
2021-08-12,12.7154
2021-08-11,12.9134
2021-08-10,12.8017
2021-08-09,13.0238
2021-08-06,13.0225
2021-08-05,13.0504
2021-08-04,12.9768
2021-08-03,13.1570
2021-08-02,13.2484
2021-07-30,13.2357
2021-07-29,13.4337
2021-07-28,13.0872
2021-07-27,12.6431
2021-07-26,12.5999
2021-07-23,12.7738
2021-07-22,12.6304
2021-07-21,12.7484
2021-07-20,12.5733
2021-07-19,12.4933
2021-07-16,12.8804
2021-07-15,13.0542
2021-07-14,13.2700
2021-07-13,13.2332
2021-07-12,13.2357
2021-07-09,12.9489
2021-07-08,12.6063
2021-07-07,12.7839
2021-07-06,12.8271
2021-07-02,12.8994
2021-07-01,12.4680
2021-06-30,12.3372
2021-06-29,12.8428
2021-06-28,12.6615
2021-06-25,12.6332
2021-06-24,12.4429
2021-06-23,12.3619
2021-06-22,12.5625
2021-06-21,12.4609
2021-06-18,12.1857
2021-06-17,12.3568
2021-06-16,12.4519
2021-06-15,12.7361
2021-06-14,12.7849
2021-06-11,12.8068
2021-06-10,12.6782
2021-06-09,12.5651
2021-06-08,12.8081
2021-06-07,12.8775
2021-06-04,12.9469
2021-06-03,12.6975
2021-06-02,12.6088
2021-06-01,12.7528
2021-05-28,12.8081
2021-05-27,12.8029
2021-05-26,12.6551
2021-05-25,12.6461
2021-05-24,12.4442
2021-05-21,12.3928
2021-05-20,12.4596
2021-05-19,12.2552
2021-05-18,12.2153
2021-05-17,12.0764
2021-05-14,12.1060
2021-05-13,11.9543
2021-05-12,11.9646
2021-05-11,12.3503
2021-05-10,12.5239
2021-05-07,12.4776
2021-05-06,12.5689
2021-05-05,12.5535
2021-05-04,12.4455
2021-05-03,12.7772
2021-04-30,12.8788
2021-04-29,13.4818
2021-04-28,13.4356
2021-04-27,13.7159
2021-04-26,14.0052
2021-04-23,14.1363
2021-04-22,14.0077
2021-04-21,13.9435
2021-04-20,13.9653
2021-04-19,14.1415
2021-04-16,14.2855
2021-04-15,14.5002
2021-04-14,14.3729
2021-04-13,14.3858
2021-04-12,14.3228
2021-04-09,14.3742
2021-04-08,14.1209
2021-04-07,14.2546
2021-04-06,14.1312
2021-04-05,14.3228
2021-04-01,13.7403
2021-03-31,13.6310
2021-03-30,14.1732
2021-03-29,14.4566
2021-03-26,14.2966
2021-03-25,13.9209
2021-03-24,13.8802
2021-03-23,14.2545
2021-03-22,14.4959
2021-03-19,14.2749
2021-03-18,14.2857
2021-03-17,14.3657
2021-03-16,14.4512
2021-03-15,14.2925
2021-03-12,14.1799
2021-03-11,13.9955
2021-03-10,13.6958
2021-03-09,13.7677
2021-03-08,13.5954
2021-03-05,14.1230
2021-03-04,13.8111
2021-03-03,14.1745
2021-03-02,14.3440
2021-03-01,14.6573
2021-02-26,14.3495
2021-02-25,14.5217
2021-02-24,14.8634
2021-02-23,15.2472
2021-02-22,15.3625
2021-02-19,15.6690
2021-02-18,15.3951
2021-02-17,15.5849
2021-02-16,15.5917
