Period,Return on Assets
2022-12-31,2.8973
2022-09-30,3.1492
2022-06-30,3.0618
2022-03-31,3.0957
2021-12-31,2.9645
2021-09-30,2.9948
2021-06-30,4.0691
2021-03-31,4.0964
2020-12-31,4.0205
2020-09-30,3.8008
2020-06-30,2.7196
2020-03-31,2.5986
2019-12-31,3.0514
2019-09-30,4.0248
2019-06-30,4.0320
2019-03-31,4.5026
2018-12-31,4.0566
2018-09-30,3.4835
2018-06-30,3.3350
2018-03-31,2.6069
2017-12-31,2.9400
2017-09-30,1.4474
2017-06-30,0.7514
2017-03-31,0.4251
2016-12-31,-0.2237
2016-09-30,0.3079
2016-06-30,0.4804
2016-03-31,0.8479
2015-12-31,0.7679
2015-09-30,0.6193
2015-06-30,-0.5340
2015-03-31,-0.8147
2014-12-31,-1.1036
2014-09-30,-1.4312
2014-06-30,-0.6780
2014-03-31,-0.8303
2013-12-31,0.7195
2013-09-30,0.4482
2013-06-30,0.4424
2013-03-31,0.2265
2012-12-31,-2.3255
2012-09-30,-3.4628
2012-06-30,-3.6026
2012-03-31,-3.5758
2011-12-31,-4.5229
2011-09-30,-2.7495
2011-06-30,-2.3756
2011-03-31,-2.1321
2010-12-31,0.6084
2010-09-30,0.6308
2010-06-30,0.1866
2010-03-31,-0.3046
2009-12-31,-1.1635
2009-09-30,-1.7878
2009-06-30,-1.4615
2009-03-31,-0.8983
2008-12-31,0.7340
2008-09-30,2.1732
2008-06-30,2.6501
2008-03-31,2.9516
2007-12-31,2.2859
2007-09-30,1.9720
2007-06-30,1.4071
2007-03-31,1.1435
2006-12-31,1.1603
2006-09-30,1.2830
2006-06-30,1.5787
2006-03-31,1.1950
2005-12-31,1.2295
2005-09-30,1.1523
2005-06-30,1.4178
2005-03-31,1.7353
2004-12-31,1.9411
2004-09-30,1.4059
2004-06-30,1.2057
2004-03-31,0.9911
2003-12-31,0.2991
2003-09-30,0.5335
2003-06-30,0.6746
2003-03-31,1.3446
2002-12-31,2.6767
2002-09-30,1.9622
2002-06-30,1.2574
2002-03-31,0.1846
2001-12-31,0.4137
2001-09-30,0.6223
2001-06-30,1.0810
2001-03-31,0.1753
2000-12-31,-0.5786
2000-09-30,-0.2101
2000-06-30,0.1450
2000-03-31,1.8190
1999-12-31,2.3027
1999-09-30,2.4735
1999-06-30,2.4357
1999-03-31,2.7644
1998-12-31,3.3835
1998-09-30,3.3734
1998-06-30,3.7008
1998-03-31,3.7219
1997-12-31,3.5684
1997-09-30,3.1452
1997-06-30,2.8610
1997-03-31,2.6000
1996-12-31,2.3873
1996-09-30,1.7720
1996-06-30,1.2996
1996-03-31,1.1542
1995-12-31,1.1042
1995-09-30,0.8919
1995-06-30,-6.2668
1995-03-31,-6.6279
1994-12-31,-6.9473
1994-09-30,-7.2111
1994-06-30,0.2519
1994-03-31,0.3375
1993-12-31,0.4285
1993-09-30,0.5878
1993-06-30,0.6060
1993-03-31,0.7349
1992-12-31,0.4795
1992-09-30,1.8476
1992-06-30,2.2736
1992-03-31,2.4965
1991-12-31,3.3629
1991-09-30,2.4601
1991-06-30,2.6872
1991-03-31,2.7650
1990-12-31,2.7119
1990-09-30,2.6301
1990-06-30,2.7084
1990-03-31,3.0606
1989-12-31,3.4311
