Period,PE Ratio
2022-09-29,71.4342
2022-09-28,75.1250
2022-09-27,72.3026
2022-09-26,72.0855
2022-09-23,72.6053
2022-09-22,75.4868
2022-09-21,77.5789
2022-09-20,80.0592
2022-09-19,82.2895
2022-09-16,81.7039
2022-09-15,84.4934
2022-09-14,84.3158
2022-09-13,83.5658
2022-09-12,85.2237
2022-09-09,84.0658
2022-09-08,79.3289
2022-09-07,79.3289
2022-09-06,78.6382
2022-09-02,78.0461
2022-09-01,79.4211
2022-08-31,80.6316
2022-08-30,80.9474
2022-08-29,80.8553
2022-08-26,83.8618
2022-08-25,82.5526
2022-08-24,81.1184
2022-08-23,81.8158
2022-08-22,82.4474
2022-08-19,84.0395
2022-08-18,85.8355
2022-08-17,87.5000
2022-08-16,89.8618
2022-08-15,83.8092
2022-08-12,81.0132
2022-08-11,79.3882
2022-08-10,81.4408
2022-08-09,79.4474
2022-08-08,82.5724
2022-08-05,83.6579
2022-08-04,83.8092
2022-08-03,85.4013
2022-08-02,83.3289
2022-08-01,83.9211
2022-07-29,87.3224
2022-07-28,85.7566
2022-07-27,85.9079
2022-07-26,86.2500
2022-07-25,86.0329
2022-07-22,85.7961
2022-07-21,87.0197
2022-07-20,85.5329
2022-07-19,83.5329
2022-07-18,81.3487
2022-07-15,81.4803
2022-07-14,80.7500
2022-07-13,79.6974
2022-07-12,80.2566
2022-07-11,80.7237
2022-07-08,82.1908
2022-07-07,83.4342
2022-07-06,82.6447
2022-07-05,83.5789
2022-07-01,82.1447
2022-06-30,80.6118
2022-06-29,35.0642
2022-06-28,35.2458
2022-06-27,36.0922
2022-06-24,37.3240
2022-06-23,36.3268
2022-06-22,35.9218
2022-06-21,35.9721
2022-06-17,35.1425
2022-06-16,34.8883
2022-06-15,35.2402
2022-06-14,33.9134
2022-06-13,34.4106
2022-06-10,35.7402
2022-06-09,36.0978
2022-06-08,36.7039
2022-06-07,36.7737
2022-06-06,35.4721
2022-06-03,35.4665
2022-06-02,36.0475
2022-06-01,34.8128
2022-05-31,34.7849
2022-05-27,35.1341
2022-05-26,34.4358
2022-05-25,34.1006
2022-05-24,34.2710
2022-05-23,34.5307
2022-05-20,32.4358
2022-05-19,33.4525
2022-05-18,34.3715
2022-05-17,34.3799
2022-05-16,30.7570
2022-05-13,30.7067
2022-05-12,29.6676
2022-05-11,29.4022
2022-05-10,28.9358
2022-05-09,29.6508
2022-05-06,31.9190
2022-05-05,33.5838
2022-05-04,34.8492
2022-05-03,33.8966
2022-05-02,34.0615
2022-04-29,33.3827
2022-04-28,34.4218
2022-04-27,33.9804
2022-04-26,34.9190
2022-04-25,37.1397
2022-04-22,38.1034
2022-04-21,36.7402
2022-04-20,38.3631
2022-04-19,39.2095
2022-04-18,37.9050
2022-04-14,38.5363
2022-04-13,38.8240
2022-04-12,38.6480
2022-04-11,39.2542
2022-04-08,39.4721
2022-04-07,40.0559
2022-04-06,41.1173
2022-04-05,42.4302
2022-04-04,43.1369
2022-04-01,42.4246
2022-03-31,42.9441
2022-03-30,34.6031
2022-03-29,35.1596
2022-03-28,34.7007
2022-03-25,34.2572
2022-03-24,33.3703
2022-03-23,33.1264
2022-03-22,33.7672
2022-03-21,33.5299
2022-03-18,33.5632
2022-03-17,33.1508
2022-03-16,32.9911
2022-03-15,31.6807
2022-03-14,31.4457
2022-03-11,34.0333
2022-03-10,35.0976
2022-03-09,35.1042
2022-03-08,34.6120
2022-03-07,35.0333
2022-03-04,35.0355
2022-03-03,35.0776
2022-03-02,35.6674
2022-03-01,35.4324
2022-02-28,35.9202
2022-02-25,36.6475
2022-02-24,36.2262
2022-02-23,34.9933
2022-02-22,35.0953
2022-02-18,35.1441
2022-02-17,35.9490
2022-02-16,36.8271
2022-02-15,37.4568
2022-02-14,37.0443
2022-02-11,38.0222
2022-02-10,38.3925
2022-02-09,38.2129
2022-02-08,38.1818
2022-02-07,38.8248
2022-02-04,38.8027
2022-02-03,36.1463
2022-02-02,36.5965
2022-02-01,35.5322
2022-01-31,36.2173
2022-01-28,35.1973
2022-01-27,34.8670
2022-01-26,35.0155
2022-01-25,35.1197
2022-01-24,36.5831
2022-01-21,36.5322
2022-01-20,36.4656
2022-01-19,36.2217
2022-01-18,34.1552
2022-01-14,33.8315
2022-01-13,34.3304
2022-01-12,34.6031
2022-01-11,32.9091
2022-01-10,31.7051
2022-01-07,36.4967
2022-01-06,36.4989
2022-01-05,38.1042
2022-01-04,40.3326
2022-01-03,39.6031
2021-12-31,39.4058
2021-12-30,37.3616
2021-12-29,37.2521
2021-12-28,37.0641
2021-12-27,37.0992
2021-12-23,36.7686
2021-12-22,36.6983
2021-12-21,37.0744
2021-12-20,36.8492
2021-12-17,36.3099
2021-12-16,35.6901
2021-12-15,35.3616
2021-12-14,34.6343
2021-12-13,34.3512
2021-12-10,34.2149
2021-12-09,34.3760
2021-12-08,35.2376
2021-12-07,34.5641
2021-12-06,33.9669
2021-12-03,34.2521
2021-12-02,33.3430
2021-12-01,33.1302
2021-11-30,34.2727
2021-11-29,35.0413
2021-11-26,35.0537
2021-11-24,33.9483
2021-11-23,34.1178
2021-11-22,34.0723
2021-11-19,35.2273
2021-11-18,35.9504
2021-11-17,36.5785
2021-11-16,37.1260
2021-11-15,36.6942
2021-11-12,38.8079
2021-11-11,38.3698
2021-11-10,37.7583
2021-11-09,38.5971
2021-11-08,38.2521
2021-11-05,38.6777
2021-11-04,39.8574
2021-11-03,38.0496
2021-11-02,38.0041
2021-11-01,37.9752
2021-10-29,37.3967
2021-10-28,37.4194
2021-10-27,37.3781
2021-10-26,37.7149
2021-10-25,37.8079
2021-10-22,37.3450
2021-10-21,37.6157
2021-10-20,35.8471
2021-10-19,35.5455
2021-10-18,35.4855
2021-10-15,35.2397
2021-10-14,34.9959
2021-10-13,35.2479
2021-10-12,35.4029
2021-10-11,35.2727
2021-10-08,35.8864
2021-10-07,35.2831
2021-10-06,34.1818
2021-10-05,33.4752
2021-10-04,32.4649
2021-10-01,32.7562
2021-09-30,31.8326
2021-09-29,27.0232
2021-09-28,26.5793
2021-09-27,26.4973
2021-09-24,26.2674
2021-09-23,26.1462
2021-09-22,25.8913
2021-09-21,25.9750
2021-09-20,26.5312
2021-09-17,27.0339
2021-09-16,27.0749
2021-09-15,27.2175
2021-09-14,27.1212
2021-09-13,27.2603
2021-09-10,27.4403
2021-09-09,27.9911
2021-09-08,28.4225
2021-09-07,28.3619
2021-09-03,28.6203
2021-09-02,28.8824
2021-09-01,28.8645
2021-08-31,28.7380
2021-08-30,28.1889
2021-08-27,28.5258
2021-08-26,28.3209
2021-08-25,28.6381
2021-08-24,29.2014
2021-08-23,29.1194
