Date,Open Price,High Price,Low Price,Close Price,Volume
2023-02-17,111.170000,113.120000,110.320000,112.510000,1321307
2023-02-16,114.630000,115.185000,112.180000,112.520000,1349340
2023-02-15,111.970000,116.030000,111.709100,115.950000,1855344
2023-02-14,109.390000,112.210000,108.820000,112.090000,1511697
2023-02-13,111.400000,112.560000,110.527600,111.380000,1400536
2023-02-10,110.300000,111.490000,109.330000,111.100000,1535119
2023-02-09,111.530000,113.280300,109.930000,110.880000,1919766
2023-02-08,112.740000,114.450000,110.190000,110.450000,2675517
2023-02-07,106.900000,115.210000,106.310100,113.850000,5481620
2023-02-06,107.500000,108.120000,104.130000,105.560000,5255695
2023-02-03,112.320000,112.700000,108.870000,109.280000,3255303
2023-02-02,114.080000,114.730000,112.065000,114.720000,2889812
2023-02-01,111.245000,112.660000,108.760000,112.250000,3239451
2023-01-31,112.530000,113.790000,112.450000,113.230000,1346650
2023-01-30,113.100000,114.540000,112.335000,112.660000,1368868
2023-01-27,114.100000,115.335000,113.360000,114.280000,1864939
2023-01-26,111.850000,112.250000,110.560000,111.890000,1252975
2023-01-25,109.590000,111.390000,109.265000,110.700000,1821389
2023-01-24,110.470000,111.660000,109.050000,111.270000,1245899
2023-01-23,107.130000,110.940000,106.770000,110.665000,1939606
2023-01-20,103.380000,106.720000,103.130000,106.590000,1458445
2023-01-19,103.000000,103.440000,101.770000,102.260000,1164008
2023-01-18,104.540000,105.750000,103.050000,103.220000,1274548
2023-01-17,105.030000,105.640000,103.250000,104.540000,1438926
2023-01-13,103.410000,105.090000,103.060000,105.030000,1437753
2023-01-12,104.910000,105.055000,101.530000,104.290000,1775736
2023-01-11,105.980000,106.925000,104.410000,105.260000,1715765
2023-01-10,104.790000,106.680000,104.790000,105.530000,1313786
2023-01-09,105.260000,107.290000,104.915000,105.100000,2185773
2023-01-06,107.080000,107.080000,103.270000,104.750000,2602757
2023-01-05,106.770000,106.950000,105.320000,105.960000,1218449
2023-01-04,103.500000,108.630000,103.500000,106.770000,1474836
2023-01-03,105.260000,106.260000,102.380000,103.110000,1668590
2022-12-30,100.170000,104.460000,99.970000,104.130000,1747546
2022-12-29,100.190000,102.780000,100.045000,101.340000,1526434
2022-12-28,99.420000,99.730000,98.550000,99.690000,1928781
2022-12-27,99.340000,99.580000,97.780000,99.380000,1225139
2022-12-23,98.980000,99.930000,98.700000,99.830000,1153988
2022-12-22,98.920000,99.760000,97.350000,99.270000,1856550
2022-12-21,98.200000,99.920000,97.230000,99.880000,1657207
2022-12-20,97.780000,99.449900,97.205100,98.110000,2379042
2022-12-19,100.370000,100.600000,98.230000,98.590000,3426160
2022-12-16,101.340000,101.710000,100.350000,100.760000,3206359
2022-12-15,103.350000,103.796600,100.390000,101.660000,1776256
2022-12-14,104.320000,106.860000,104.220000,104.810000,1675106
2022-12-13,105.930000,108.940000,102.160000,104.550000,2530797
2022-12-12,102.420000,103.320000,100.387500,102.610000,1770558
2022-12-09,100.830000,102.160000,99.410000,102.060000,1656837
2022-12-08,99.500000,101.290000,98.200000,100.790000,1558700
2022-12-07,100.900000,102.370000,98.670000,99.490000,1885678
2022-12-06,106.370000,107.400000,101.030000,101.270000,2180508
2022-12-05,108.360000,109.800000,106.400000,106.980000,2042203
2022-12-02,105.780000,108.880000,105.470000,108.760000,1857906
2022-12-01,106.210000,107.420000,104.800000,106.400000,1587043
2022-11-30,101.280000,105.840000,100.135000,105.690000,4514137
2022-11-29,101.490000,101.970000,100.100000,101.350000,1522720
2022-11-28,102.390000,103.040000,100.480000,101.260000,1387645
2022-11-25,102.470000,103.670000,102.240000,102.630000,939706
2022-11-23,100.730000,103.230000,99.576000,103.150000,1170678
2022-11-22,97.515000,100.470000,96.000000,100.290000,1714242
2022-11-21,98.330000,99.045000,96.420000,97.430000,1955231
2022-11-18,101.020000,101.020000,98.500000,98.770000,1992977
2022-11-17,98.010000,100.020000,97.120000,99.660000,1711106
2022-11-16,100.680000,102.665000,100.130000,100.810000,2506010
2022-11-15,102.110000,103.170000,99.330000,101.030000,2545878
2022-11-14,102.240000,103.720000,99.840000,99.880000,2824066
2022-11-11,98.950000,104.050000,98.160000,102.250000,4107040
2022-11-10,98.420000,99.645000,96.250000,98.570000,3100728
2022-11-09,93.270000,95.570000,92.760000,94.090000,3967934
2022-11-08,91.900000,98.950000,90.000000,93.570000,19320526
2022-11-07,108.600000,109.390000,106.220000,108.400000,5450743
2022-11-04,111.630000,111.950000,107.750000,108.530000,2524723
2022-11-03,112.085000,113.930000,109.934200,111.300000,1307611
2022-11-02,115.070000,118.440000,113.300000,113.550000,2104681
2022-11-01,120.440000,122.740000,115.960000,116.310000,1943719
2022-10-31,123.370000,123.470000,117.650000,118.480000,2593618
2022-10-28,122.780000,124.280000,122.240000,124.020000,1388350
2022-10-27,123.640000,125.320000,121.350000,122.740000,1268771
2022-10-26,124.030000,126.400000,122.810000,123.620000,1435611
2022-10-25,123.570000,125.610000,122.730000,125.030000,1309102
2022-10-24,125.760000,125.810000,120.640000,123.110000,1103582
2022-10-21,122.860000,125.810000,121.740000,125.550000,1005552
2022-10-20,123.080000,127.080000,122.550000,123.890000,1435892
2022-10-19,119.930000,122.630000,119.330000,122.500000,1273580
2022-10-18,120.720000,121.930000,119.460000,121.290000,1087891
2022-10-17,119.640000,120.820000,117.700000,117.890000,1261519
2022-10-14,120.050000,121.265000,117.690000,117.820000,1375128
2022-10-13,113.780000,119.260000,112.500000,118.860000,1910884
