Period,PE Ratio
2022-09-29,38.3042
2022-09-28,38.7768
2022-09-27,41.0989
2022-09-26,40.1810
2022-09-23,40.1810
2022-09-22,44.9005
2022-09-21,44.9005
2022-09-20,46.5513
2022-09-19,46.5513
2022-09-16,46.7979
2022-09-15,46.7979
2022-09-14,47.9487
2022-09-13,47.0308
2022-09-12,54.1272
2022-09-09,48.8118
2022-09-08,47.1267
2022-09-07,49.3392
2022-09-06,62.8128
2022-09-02,62.4977
2022-09-01,62.4977
2022-08-31,62.4977
2022-08-30,62.4703
2022-08-29,62.4703
2022-08-26,62.4703
2022-08-25,56.5110
2022-08-24,57.0315
2022-08-23,57.0315
2022-08-22,58.0590
2022-08-19,59.9633
2022-08-18,61.7716
2022-08-17,63.1142
2022-08-16,63.1142
2022-08-15,63.1142
2022-08-12,63.1142
2022-08-11,64.8677
2022-08-10,64.8677
2022-08-09,64.8677
2022-08-08,64.8677
2022-08-05,63.9361
2022-08-04,63.9361
2022-08-03,60.2646
2022-08-02,60.2646
2022-08-01,60.2646
2022-07-29,56.8534
2022-07-28,57.0452
2022-07-27,59.9359
2022-07-26,59.9359
2022-07-25,59.9359
2022-07-22,54.5930
2022-07-21,55.4013
2022-07-20,55.4013
2022-07-19,54.7848
2022-07-18,54.6889
2022-07-15,55.2643
2022-07-14,56.4565
2022-07-13,56.4565
2022-07-12,56.4565
2022-07-11,57.7165
2022-07-08,59.0180
2022-07-07,59.0180
2022-07-06,62.2374
2022-07-05,62.2374
2022-07-01,59.4564
2022-06-30,59.4564
2022-06-29,59.4564
2022-06-28,60.7441
2022-06-27,61.9223
2022-06-24,60.8811
2022-06-23,60.8811
2022-06-22,60.4153
2022-06-21,60.0181
2022-06-17,59.8537
2022-06-16,59.8537
2022-06-15,61.0729
2022-06-14,61.0729
2022-06-13,61.4291
2022-06-10,65.8815
2022-06-09,65.8815
2022-06-08,67.6487
2022-06-07,67.6487
2022-06-06,68.5940
2022-06-03,69.9640
2022-06-02,69.1009
2022-06-01,70.5503
2022-05-31,70.5503
2022-05-27,72.4436
2022-05-26,70.1969
2022-05-25,70.1969
2022-05-24,70.1969
2022-05-23,66.9638
2022-05-20,66.9638
2022-05-19,67.7720
2022-05-18,64.1827
2022-05-17,64.1827
2022-05-16,64.1827
2022-05-13,63.4430
2022-05-12,58.9632
2022-05-11,59.3810
2022-05-10,62.1141
2022-05-09,63.1142
2022-05-06,67.2378
2022-05-05,67.2378
2022-05-04,67.7309
2022-05-03,61.0729
2022-05-02,59.9907
2022-04-29,59.7441
2022-04-28,59.2783
2022-04-27,59.2783
2022-04-26,58.7303
2022-04-25,63.0320
2022-04-22,57.9768
2022-04-21,52.4696
2022-04-20,52.2435
2022-04-19,54.0587
2022-04-18,53.4011
2022-04-14,53.6888
2022-04-13,56.2986
2022-04-12,57.4973
2022-04-11,57.6377
2022-04-08,60.2646
2022-04-07,60.0044
2022-04-06,60.0044
2022-04-05,62.7237
2022-04-04,62.7237
2022-04-01,60.8725
2022-03-31,60.8725
2022-03-30,51.7683
2022-03-29,51.7683
2022-03-28,51.7683
2022-03-25,51.7683
2022-03-24,51.7925
2022-03-23,51.5397
2022-03-22,51.5397
2022-03-21,51.5397
2022-03-18,51.0705
2022-03-17,51.0705
2022-03-16,51.0705
2022-03-15,49.7231
2022-03-14,53.1278
2022-03-11,53.1278
2022-03-10,54.0180
2022-03-09,55.5159
2022-03-08,53.5729
2022-03-07,51.9487
2022-03-04,55.0527
2022-03-03,59.6785
2022-03-02,64.7735
2022-03-01,64.7735
2022-02-28,65.2788
2022-02-25,61.0560
