Period,Return on Assets
2022-09-30,-1.9455
2022-03-31,1.5874
2021-09-30,1.8687
2021-03-31,2.5572
2020-09-30,-2.6223
2020-03-31,-3.4487
2019-09-30,-1.1514
2019-03-31,3.2380
2018-09-30,10.7688
2018-03-31,5.6960
2017-09-30,5.8787
2017-03-31,4.3812
2016-09-30,5.0366
2016-03-31,5.1256
2015-09-30,0.0432
2015-03-31,5.5173
2014-09-30,0.6487
2014-03-31,-4.9169
2013-09-30,2.6254
2013-03-31,5.4759
2012-09-30,3.5675
2012-03-31,2.9635
2011-09-30,-0.0614
2011-03-31,-4.2209
2010-09-30,-6.7641
